F1((1=on,0=off))	1
F2((1=on,0=off))	0
cage(V)	3.0
delta-m(%)	+0
electron-energy(V)	70.0
emission(uA)	1000.000
focus(V)	-90
mass(amu)	18.00
mode-change-delay()	
multiplier(V)	1200
resolution(%)	+0
Data()	
mass 2.0_time	mass 2.0_value	mass 4.0_time	mass 4.0_value	mass 12.0_time	mass 12.0_value	mass 16.0_time	mass 16.0_value	mass 18.0_time	mass 18.0_value	mass 28.0_time	mass 28.0_value	mass 32.0_time	mass 32.0_value	mass 40.0_time	mass 40.0_value	mass 44.0_time	mass 44.0_value
2022/11/15 16:52:17.149	0.00000000000778123000	2022/11/15 16:52:17.399	0.00000000000032935300	2022/11/15 16:52:17.899	0.00000000000028341300	2022/11/15 16:52:18.149	0.00000000000056930900	2022/11/15 16:52:18.400	0.00000000000051718200	2022/11/15 16:52:19.150	0.00000000000026605700
2022/11/15 16:52:19.471	0.00000000000789915000	2022/11/15 16:52:19.721	0.00000000000032793900	2022/11/15 16:52:20.222	0.00000000000029242100	2022/11/15 16:52:20.472	0.00000000000056982500	2022/11/15 16:52:20.722	0.00000000000050304100	2022/11/15 16:52:21.473	0.00000000000025976800
2022/11/15 16:52:21.794	0.00000000000779542000	2022/11/15 16:52:22.044	0.00000000000033530800	2022/11/15 16:52:22.544	0.00000000000027732300	2022/11/15 16:52:22.794	0.00000000000060153200	2022/11/15 16:52:23.045	0.00000000000051547300	2022/11/15 16:52:23.795	0.00000000000023808500
2022/11/15 16:52:24.116	0.00000000000774210000	2022/11/15 16:52:24.366	0.00000000000033613100	2022/11/15 16:52:24.867	0.00000000000028424000	2022/11/15 16:52:25.117	0.00000000000059410400	2022/11/15 16:52:25.367	0.00000000000053865000	2022/11/15 16:52:26.118	0.00000000000024370800
2022/11/15 16:52:26.439	0.00000000000777687000	2022/11/15 16:52:26.689	0.00000000000033709800	2022/11/15 16:52:27.189	0.00000000000025754300	2022/11/15 16:52:27.439	0.00000000000058335400	2022/11/15 16:52:27.690	0.00000000000051992400	2022/11/15 16:52:28.440	0.00000000000026980900
2022/11/15 16:52:28.761	0.00000000000788803000	2022/11/15 16:52:29.011	0.00000000000034229000	2022/11/15 16:52:29.512	0.00000000000027421600	2022/11/15 16:52:29.762	0.00000000000060275800	2022/11/15 16:52:30.012	0.00000000000049383900	2022/11/15 16:52:30.763	0.00000000000026958300
2022/11/15 16:52:31.084	0.00000000000774097000	2022/11/15 16:52:31.334	0.00000000000033614100	2022/11/15 16:52:31.834	0.00000000000026747000	2022/11/15 16:52:32.084	0.00000000000059089000	2022/11/15 16:52:32.335	0.00000000000050454600	2022/11/15 16:52:33.085	0.00000000000023855300
2022/11/15 16:52:33.406	0.00000000000784180000	2022/11/15 16:52:33.656	0.00000000000033164300	2022/11/15 16:52:34.157	0.00000000000028146200	2022/11/15 16:52:34.407	0.00000000000058342400	2022/11/15 16:52:34.657	0.00000000000051602700	2022/11/15 16:52:35.408	0.00000000000026161200
2022/11/15 16:52:35.729	0.00000000000797596000	2022/11/15 16:52:35.979	0.00000000000033899000	2022/11/15 16:52:36.479	0.00000000000024420700	2022/11/15 16:52:36.729	0.00000000000057057800	2022/11/15 16:52:36.980	0.00000000000051247900	2022/11/15 16:52:37.730	0.00000000000025490900
2022/11/15 16:52:38.051	0.00000000000790501000	2022/11/15 16:52:38.301	0.00000000000032187600	2022/11/15 16:52:38.802	0.00000000000028049900	2022/11/15 16:52:39.052	0.00000000000058000000	2022/11/15 16:52:39.302	0.00000000000050705600	2022/11/15 16:52:40.053	0.00000000000026039200
2022/11/15 16:52:40.374	0.00000000000777601000	2022/11/15 16:52:40.624	0.00000000000032622500	2022/11/15 16:52:41.124	0.00000000000025840300	2022/11/15 16:52:41.374	0.00000000000059220700	2022/11/15 16:52:41.625	0.00000000000048669500	2022/11/15 16:52:42.375	0.00000000000024200400
2022/11/15 16:52:42.696	0.00000000000783460000	2022/11/15 16:52:42.946	0.00000000000034382200	2022/11/15 16:52:43.197	0.00000000000000152757	2022/11/15 16:52:43.447	0.00000000000027737700	2022/11/15 16:52:43.697	0.00000000000061480300	2022/11/15 16:52:43.947	0.00000000000051822000	2022/11/15 16:52:44.698	0.00000000000024507300
2022/11/15 16:52:45.019	0.00000000000780686000	2022/11/15 16:52:45.269	0.00000000000034634300	2022/11/15 16:52:45.769	0.00000000000027094800	2022/11/15 16:52:46.019	0.00000000000057737200	2022/11/15 16:52:46.270	0.00000000000052863600	2022/11/15 16:52:47.020	0.00000000000025757000
2022/11/15 16:52:47.341	0.00000000000781611000	2022/11/15 16:52:47.591	0.00000000000031516300	2022/11/15 16:52:47.842	0.00000000000000158992	2022/11/15 16:52:48.092	0.00000000000023754800	2022/11/15 16:52:48.342	0.00000000000059178200	2022/11/15 16:52:48.592	0.00000000000050226700	2022/11/15 16:52:49.343	0.00000000000024751800
