	mass 2.0_time	mass 2.0_value	mass 4.0_time	mass 4.0_value	mass 5.5_time	mass 5.5_value	mass 12.0_time	mass 12.0_value	mass 15.0_time	mass 15.0_value	mass 16.0_time	mass 16.0_value	mass 18.0_time	mass 18.0_value	mass 28.0_time	mass 28.0_value	mass 32.0_time	mass 32.0_value	mass 40.0_time	mass 40.0_value	mass 44.0_time	mass 44.0_value
14	2023/01/16 13:31:30.471	1.12552e-10	2023/01/16 13:31:33.722	3.74e-14	2023/01/16 13:31:33.972	3.29e-14	2023/01/16 13:31:34.222	3.443e-13	2023/01/16 13:31:34.472	1.995e-13	2023/01/16 13:31:34.722	7.055e-13	2023/01/16 13:31:34.972	1.7113e-12	2023/01/16 13:31:35.223	1.655e-12	2023/01/16 13:31:35.473	1.789e-13	2023/01/16 13:31:35.723	9.9e-14	2023/01/16 13:31:36.474	2.408e-11
15	2023/01/16 13:31:36.866	1.1231e-10	2023/01/16 13:31:40.117	3.55e-14	2023/01/16 13:31:40.367	2.3e-14	2023/01/16 13:31:40.617	3.371e-13	2023/01/16 13:31:40.867	1.989e-13	2023/01/16 13:31:41.117	7.356e-13	2023/01/16 13:31:41.367	1.691e-12	2023/01/16 13:31:41.618	1.627e-12	2023/01/16 13:31:41.868	1.848e-13	2023/01/16 13:31:42.118	9.11e-14	2023/01/16 13:31:42.869	2.408e-11
16	2023/01/16 13:31:43.261	1.12127e-10	2023/01/16 13:31:46.512	2.6e-14	2023/01/16 13:31:46.762	1.72e-14	2023/01/16 13:31:47.012	3.61e-13	2023/01/16 13:31:47.262	1.878e-13	2023/01/16 13:31:47.512	7.009e-13	2023/01/16 13:31:47.762	1.7548e-12	2023/01/16 13:31:48.013	1.6123e-12	2023/01/16 13:31:48.263	1.906e-13	2023/01/16 13:31:48.513	1.05e-13	2023/01/16 13:31:49.264	2.3865e-11
17	2023/01/16 13:31:49.656	1.12219e-10	2023/01/16 13:31:52.907	4.5e-14	2023/01/16 13:31:53.157	3.18e-14	2023/01/16 13:31:53.407	3.529e-13	2023/01/16 13:31:53.657	1.669e-13	2023/01/16 13:31:53.907	7.29e-13	2023/01/16 13:31:54.158	1.7509e-12	2023/01/16 13:31:54.408	1.6208e-12	2023/01/16 13:31:54.658	2.135e-13	2023/01/16 13:31:54.908	7.64e-14	2023/01/16 13:31:55.659	2.41337e-11
18	2023/01/16 13:31:56.051	1.12643e-10	2023/01/16 13:31:59.302	3.83e-14	2023/01/16 13:31:59.552	3.55e-14	2023/01/16 13:31:59.802	3.343e-13	2023/01/16 13:32:00.052	1.73e-13	2023/01/16 13:32:00.302	7.194e-13	2023/01/16 13:32:00.552	1.7259e-12	2023/01/16 13:32:00.803	1.6176e-12	2023/01/16 13:32:01.053	1.841e-13	2023/01/16 13:32:01.303	3.68e-14	2023/01/16 13:32:02.054	2.41337e-11
19	2023/01/16 13:32:02.446	1.12385e-10	2023/01/16 13:32:05.697	3.92e-14	2023/01/16 13:32:05.947	3.14e-14	2023/01/16 13:32:06.197	3.311e-13	2023/01/16 13:32:06.447	1.737e-13	2023/01/16 13:32:06.697	6.945e-13	2023/01/16 13:32:06.948	1.7294e-12	2023/01/16 13:32:07.198	1.6548e-12	2023/01/16 13:32:07.448	1.821e-13	2023/01/16 13:32:07.698	2.29e-14	2023/01/16 13:32:08.449	2.40262e-11
20	2023/01/16 13:32:08.841	1.11966e-10	2023/01/16 13:32:12.092	3.74e-14	2023/01/16 13:32:12.342	4.57e-14	2023/01/16 13:32:12.592	3.498e-13	2023/01/16 13:32:12.842	1.743e-13	2023/01/16 13:32:13.092	7.233e-13	2023/01/16 13:32:13.342	1.777e-12	2023/01/16 13:32:13.593	1.5982e-12	2023/01/16 13:32:13.843	1.792e-13	2023/01/16 13:32:14.093	2.55e-14	2023/01/16 13:32:14.844	2.40262e-11
21	2023/01/16 13:32:15.236	1.12095e-10	2023/01/16 13:32:18.487	2.38e-14	2023/01/16 13:32:18.737	2.47e-14	2023/01/16 13:32:18.987	3.114e-13	2023/01/16 13:32:19.237	1.608e-13	2023/01/16 13:32:19.487	7.012e-13	2023/01/16 13:32:19.737	1.6968e-12	2023/01/16 13:32:19.988	1.626e-12	2023/01/16 13:32:20.238	1.832e-13	2023/01/16 13:32:20.488	1.89e-14	2023/01/16 13:32:21.239	2.41875e-11
22	2023/01/16 13:32:21.631	1.11907e-10	2023/01/16 13:32:24.882	2.66e-14	2023/01/16 13:32:25.132	3.43e-14	2023/01/16 13:32:25.382	3.066e-13	2023/01/16 13:32:25.632	1.832e-13	2023/01/16 13:32:25.882	7.267e-13	2023/01/16 13:32:26.132	1.7851e-12	2023/01/16 13:32:26.383	1.6244e-12	2023/01/16 13:32:26.633	1.972e-13	2023/01/16 13:32:26.883	2.66e-14	2023/01/16 13:32:27.634	2.37575e-11
23	2023/01/16 13:32:28.026	1.11628e-10	2023/01/16 13:32:31.277	3.4e-14	2023/01/16 13:32:31.527	3.66e-14	2023/01/16 13:32:31.777	3.24e-13	2023/01/16 13:32:32.027	1.824e-13	2023/01/16 13:32:32.277	7.277e-13	2023/01/16 13:32:32.527	1.7254e-12	2023/01/16 13:32:32.778	1.6455e-12	2023/01/16 13:32:33.028	1.823e-13	2023/01/16 13:32:33.278	2.68e-14	2023/01/16 13:32:34.029	2.46175e-11
