	Timestamp, mass 2	mass 2.0_value	Timestamp, mass 4	mass 4.0_value	Timestamp, mass 5.5	mass 5.5_value	Timestamp, mass 12	mass 12.0_value	Timestamp, mass 15	mass 15.0_value	Timestamp, mass 16	mass 16.0_value	Timestamp, mass 18	mass 18.0_value	Timestamp, mass 28	mass 28.0_value	Timestamp, mass 32	mass 32.0_value	Timestamp, mass 40	mass 40.0_value	Timestamp, mass 44	mass 44.0_value
13	2022-12-13 17:35:53.583	1.99848e-11	2022-12-13 17:35:53.583	9.804e-13	2022-12-13 17:35:53.583	1.62e-14	2022-12-13 17:35:53.583	1.789e-13	2022-12-13 17:35:53.583	9.58e-14	2022-12-13 17:35:53.584	4.572e-13	2022-12-13 17:35:53.583	8.544e-13	2022-12-13 17:35:53.583	8.031e-13	2022-12-13 17:35:53.584	2.38e-14	2022-12-13 17:35:53.583	1.86e-14	2022-12-13 17:34:31.358	
14	2022-12-13 17:35:59.908	2.00944e-11	2022-12-13 17:35:59.908	9.893e-13	2022-12-13 17:35:59.908	1.61e-14	2022-12-13 17:35:59.908	1.74e-13	2022-12-13 17:35:59.908	7.28e-14	2022-12-13 17:35:59.909	4.614e-13	2022-12-13 17:35:59.908	8.417e-13	2022-12-13 17:35:59.909	8.915e-13	2022-12-13 17:35:59.909	3.93e-14	2022-12-13 17:35:59.908	1.66e-14	2022-12-13 17:34:31.358	
15	2022-12-13 17:36:06.233	2.02261e-11	2022-12-13 17:36:06.233	9.871e-13	2022-12-13 17:36:06.233	1.58e-14	2022-12-13 17:36:06.233	1.823e-13	2022-12-13 17:36:06.233	2.29e-14	2022-12-13 17:36:06.234	4.477e-13	2022-12-13 17:36:06.233	8.398e-13	2022-12-13 17:36:06.233	8.581e-13	2022-12-13 17:36:06.234	2.5e-14	2022-12-13 17:36:06.233	1.57e-14	2022-12-13 17:34:31.358	
16	2022-12-13 17:36:12.558	2.03234e-11	2022-12-13 17:36:12.558	1.0012e-12	2022-12-13 17:36:12.558	1.13e-14	2022-12-13 17:36:12.558	1.886e-13	2022-12-13 17:36:12.558	2.25e-14	2022-12-13 17:36:12.559	4.657e-13	2022-12-13 17:36:12.558	7.202e-13	2022-12-13 17:36:12.558	8.752e-13	2022-12-13 17:36:12.559	2.32e-14	2022-12-13 17:36:12.558	3.33e-14	2022-12-13 17:34:31.358	
17	2022-12-13 17:36:18.883	2.03911e-11	2022-12-13 17:36:18.883	9.82e-13	2022-12-13 17:36:18.883	1.84e-14	2022-12-13 17:36:18.883	2.053e-13	2022-12-13 17:36:18.883	2.47e-14	2022-12-13 17:36:18.884	4.533e-13	2022-12-13 17:36:18.883	8.24e-13	2022-12-13 17:36:18.883	9.146e-13	2022-12-13 17:36:18.884	3.65e-14	2022-12-13 17:36:18.883	1.61e-14	2022-12-13 17:34:31.358	
18	2022-12-13 17:36:25.208	2.03642e-11	2022-12-13 17:36:25.208	9.954e-13	2022-12-13 17:36:25.208	2.47e-14	2022-12-13 17:36:25.208	1.733e-13	2022-12-13 17:36:25.208	3.89e-14	2022-12-13 17:36:25.209	4.435e-13	2022-12-13 17:36:25.208	8.459e-13	2022-12-13 17:36:25.208	9.219e-13	2022-12-13 17:36:25.209	3.6e-14	2022-12-13 17:36:25.208	1.93e-14	2022-12-13 17:34:31.358	
19	2022-12-13 17:36:31.533	2.04207e-11	2022-12-13 17:36:31.533	9.75e-13	2022-12-13 17:36:31.533	2.19e-14	2022-12-13 17:36:31.533	1.875e-13	2022-12-13 17:36:31.533	1.89e-14	2022-12-13 17:36:31.534	4.372e-13	2022-12-13 17:36:31.533	7.931e-13	2022-12-13 17:36:31.533	9.216e-13	2022-12-13 17:36:31.534	3.28e-14	2022-12-13 17:36:31.533	2.21e-14	2022-12-13 17:34:31.358	
20	2022-12-13 17:36:37.858	2.03809e-11	2022-12-13 17:36:37.858	1.003e-12	2022-12-13 17:36:37.858	2.24e-14	2022-12-13 17:36:37.858	1.827e-13	2022-12-13 17:36:37.858	2.38e-14	2022-12-13 17:36:37.859	4.315e-13	2022-12-13 17:36:37.858	8.23e-13	2022-12-13 17:36:37.858	9.054e-13	2022-12-13 17:36:37.859	2.9e-14	2022-12-13 17:36:37.858	1.44e-14	2022-12-13 17:34:31.358	
21	2022-12-13 17:36:44.183	2.0211e-11	2022-12-13 17:36:44.183	9.692e-13	2022-12-13 17:36:44.183	2.06e-14	2022-12-13 17:36:44.183	2.036e-13	2022-12-13 17:36:44.183	2.8e-14	2022-12-13 17:36:44.184	4.419e-13	2022-12-13 17:36:44.183	8.6e-13	2022-12-13 17:36:44.184	8.652e-13	2022-12-13 17:36:44.184	2.36e-14	2022-12-13 17:36:44.183	1.39e-14	2022-12-13 17:34:31.358	
22	2022-12-13 17:36:50.508	2.05083e-11	2022-12-13 17:36:50.508	1.0049e-12	2022-12-13 17:36:50.508	2.22e-14	2022-12-13 17:36:50.508	1.781e-13	2022-12-13 17:36:50.508	3.23e-14	2022-12-13 17:36:50.509	4.677e-13	2022-12-13 17:36:50.508	8.467e-13	2022-12-13 17:36:50.508	9.025e-13	2022-12-13 17:36:50.509	2.36e-14	2022-12-13 17:36:50.508	1.47e-14	2022-12-13 17:34:31.358	
