	p_H2 during ESD	H2 base pressure	conductance factor	Temp
2		9.013869691014304e-10	0.01992516581153798	293
3		9.124620864723224e-10	0.01992516581153798	293
4		9.236170160497872e-10	0.01992516581153798	293
5		9.31340020744623e-10	0.01992516581153798	293
6		9.256592695709139e-10	0.01992516581153798	293
7		9.351757014957966e-10	0.01992516581153798	293
8		9.339644338901626e-10	0.01992516581153798	293
9		9.348987061906323e-10	0.01992516581153798	293
10		9.393118517305383e-10	0.01992516581153798	293
11		9.403494104159844e-10	0.01992516581153798	293
12		9.354010536084725e-10	0.01992516581153798	293
13		9.37372884594388e-10	0.01992516581153798	293
14		9.425184245004914e-10	0.01992516581153798	293
15		9.487015230920406e-10	0.01992516581153798	293
16		9.532695982094115e-10	0.01992516581153798	293
17		9.564480019652801e-10	0.01992516581153798	293
18		9.55185091167158e-10	0.01992516581153798	293
19		9.578376733267825e-10	0.01992516581153798	293
20		9.559691287258435e-10	0.01992516581153798	293
21		9.479926029042472e-10	0.01992516581153798	293
22		9.619503493831204e-10	0.01992516581153798	293
23		9.566264057211487e-10	0.01992516581153798	293
24		9.6169682825636e-10	0.01992516581153798	293
25		9.560958892892237e-10	0.01992516581153798	293
26		9.59297767223496e-10	0.01992516581153798	293
27		9.630113822469703e-10	0.01992516581153798	293
28		9.584667813080032e-10	0.01992516581153798	293
29		9.589456545474398e-10	0.01992516581153798	293
30		9.60560678021618e-10	0.01992516581153798	293
31		9.540254667540125e-10	0.01992516581153798	293
32		9.559926029042472e-10	0.01992516581153798	293
33		9.547578611202097e-10	0.01992516581153798	293
34		9.642695982094117e-10	0.01992516581153798	293
35		9.644714761436838e-10	0.01992516581153798	293
36		9.67297767223496e-10	0.01992516581153798	293
37		9.57433917458238e-10	0.01992516581153798	293
38		9.635653728572988e-10	0.01992516581153798	293
39		9.57659269570914e-10	0.01992516581153798	293
40		9.530395512610547e-10	0.01992516581153798	293
41		9.609644338901628e-10	0.01992516581153798	293
42		9.569503493831205e-10	0.01992516581153798	293
43		9.58847062998144e-10	0.01992516581153798	293
44		9.629315700403975e-10	0.01992516581153798	293
45		9.61016077082651e-10	0.01992516581153798	293
46	1.0014433071295994e-09		0.01992516581153798	293
47	9.858705371765478e-10		0.01992516581153798	293
48	9.787813352986135e-10		0.01992516581153798	293
49	9.77166311824435e-10		0.01992516581153798	293
50	9.795137296648106e-10		0.01992516581153798	293
51	9.707062179277215e-10		0.01992516581153798	293
52	9.751240583033081e-10		0.01992516581153798	293
53	9.680301615896932e-10		0.01992516581153798	293
54	9.734292226225572e-10		0.01992516581153798	293
55	9.665418986788952e-10		0.01992516581153798	293
56	9.635653728572988e-10		0.01992516581153798	293
57	9.735559831859374e-10		0.01992516581153798	293
58	9.702789878807731e-10		0.01992516581153798	293
