F1((1=on,0=off))	0
F2((1=on,0=off))	1
cage(V)	3.0
delta-m(%)	+0
electron-energy(V)	70.0
emission(uA)	1000.000
focus(V)	-90
mass(amu)	12.00
mode-change-delay()	
multiplier(V)	1200
resolution(%)	+0
Data()	
mass 2.0_time	mass 2.0_value	mass 12.0_time	mass 12.0_value	mass 15.0_time	mass 15.0_value	mass 18.0_time	mass 18.0_value	mass 28.0_time	mass 28.0_value	mass 32.0_time	mass 32.0_value	mass 44.0_time	mass 44.0_value
2023/03/10 18:00:10.939	0.00000000097813000000	2023/03/10 18:00:14.940	0.00000000000002997200	2023/03/10 18:00:15.541	0.00000000000030332100	2023/03/10 18:00:16.141	0.00000000000018100800	2023/03/10 18:00:16.742	0.00000000000125860000	2023/03/10 18:00:17.342	0.00000000000001330840	2023/03/10 18:00:18.443	0.00000000000032249900
2023/03/10 18:00:19.114	0.00000000097944100000	2023/03/10 18:00:22.715	0.00000000000002292210	2023/03/10 18:00:23.316	0.00000000000031362000	2023/03/10 18:00:23.916	0.00000000000018882300	2023/03/10 18:00:24.517	0.00000000000128086000	2023/03/10 18:00:25.117	0.00000000000000224674	2023/03/10 18:00:26.218	0.00000000000021499900
2023/03/10 18:00:26.689	0.00000000098364400000	2023/03/10 18:00:30.290	0.00000000000001127990	2023/03/10 18:00:30.891	0.00000000000030851300	2023/03/10 18:00:31.491	0.00000000000019770200	2023/03/10 18:00:32.092	0.00000000000129784000	2023/03/10 18:00:32.692	0.00000000000001685590	2023/03/10 18:00:33.793	0.00000000000032249900
2023/03/10 18:00:34.464	0.00000000098518200000	2023/03/10 18:00:38.065	0.00000000000001830390	2023/03/10 18:00:38.666	0.00000000000030120300	2023/03/10 18:00:39.266	0.00000000000019869100	2023/03/10 18:00:39.867	0.00000000000128999000	2023/03/10 18:00:40.467	0.00000000000001412220	2023/03/10 18:00:41.568	0.00000000000000000000
2023/03/10 18:00:42.239	0.00000000098550400000	2023/03/10 18:00:45.840	0.00000000000001997340	2023/03/10 18:00:46.441	0.00000000000030750300	2023/03/10 18:00:47.041	0.00000000000018632900	2023/03/10 18:00:47.642	0.00000000000131332000	2023/03/10 18:00:48.242	0.00000000000000229189	2023/03/10 18:00:49.343	0.00000000000032249900
2023/03/10 18:00:50.014	0.00000000098555800000	2023/03/10 18:00:53.615	0.00000000000002824340	2023/03/10 18:00:54.216	0.00000000000029965500	2023/03/10 18:00:54.816	0.00000000000021590200	2023/03/10 18:00:55.417	0.00000000000131504000	2023/03/10 18:00:56.017	0.00000000000000827103	2023/03/10 18:00:57.118	0.00000000000010749900
2023/03/10 18:00:57.789	0.00000000098150500000	2023/03/10 18:01:01.390	0.00000000000001880920	2023/03/10 18:01:01.991	0.00000000000031130800	2023/03/10 18:01:02.591	0.00000000000020047600	2023/03/10 18:01:03.192	0.00000000000132719000	2023/03/10 18:01:03.792	0.00000000000002754360	2023/03/10 18:01:04.893	0.00000000000000000000
2023/03/10 18:01:05.564	0.00000000098077400000	2023/03/10 18:01:09.165	0.00000000000003304970	2023/03/10 18:01:09.766	0.00000000000031054500	2023/03/10 18:01:10.366	0.00000000000019585300	2023/03/10 18:01:10.967	0.00000000000133536000	2023/03/10 18:01:12.668	0.00000000000021499900
2023/03/10 18:01:13.339	0.00000000098250500000	2023/03/10 18:01:16.940	0.00000000000003718630	2023/03/10 18:01:17.541	0.00000000000031556500	2023/03/10 18:01:18.141	0.00000000000019612200	2023/03/10 18:01:18.742	0.00000000000134321000	2023/03/10 18:01:20.443	0.00000000000032249900
2023/03/10 18:01:21.114	0.00000000098255900000	2023/03/10 18:01:24.715	0.00000000000002528500	2023/03/10 18:01:25.316	0.00000000000030693300	2023/03/10 18:01:25.916	0.00000000000018295300	2023/03/10 18:01:26.517	0.00000000000135202000	2023/03/10 18:01:27.117	0.00000000000000322714	2023/03/10 18:01:28.218	0.00000000000010749900
2023/03/10 18:01:28.889	0.00000000098364400000	2023/03/10 18:01:32.490	0.00000000000003771090	2023/03/10 18:01:33.091	0.00000000000030902900	2023/03/10 18:01:33.691	0.00000000000019738000	2023/03/10 18:01:34.292	0.00000000000137169000	2023/03/10 18:01:35.993	0.00000000000032249900
2023/03/10 18:01:36.664	0.00000000098406400000	2023/03/10 18:01:40.265	0.00000000000002965590	2023/03/10 18:01:40.866	0.00000000000031947800	2023/03/10 18:01:41.466	0.00000000000019572400	2023/03/10 18:01:42.067	0.00000000000136428000	2023/03/10 18:01:42.667	0.00000000000000411939	2023/03/10 18:01:43.768	0.00000000000042999900
