ASCII SAMPLE CYCLES :			primary desorption, grid transparent.mdc
DATE :	10/10/2022	TIME :	11:07:25 pm
CONVERTED CYCLES :			342
Number of stored cycles			342
Printed start cycle			1
Printed end cycle			342
Number of stored datablocks			1
Datablock 0	Ion Current	[A]	
'0/0'	2.00	min:	5.42403E-011	max:	4.44756E-010	
'0/1'	12.00	min:	3.2688E-012	max:	4.03904E-011	
'0/2'	14.00	min:	9.29889E-013	max:	1.87264E-011	ABS A,B	T_min:	5E-007	T_max:	1E-008	
'0/3'	15.00	min:	9.06687E-013	max:	4.04757E-011	
'0/4'	16.00	min:	8.11101E-012	max:	6.56082E-011	ABS A AND B	T_min:	5E-007	
'0/5'	18.00	min:	7.8933E-011	max:	1.16332E-010	ABS A,B	T_min:	5E-007	T_max:	1E-008	
'0/6'	28.00	min:	1.27286E-011	max:	1.68787E-010	ABS A AND B	T_min:	5E-007	
'0/7'	32.00	min:	3.46187E-013	max:	7.19024E-013	ABS A	T_min:	5E-007	
'0/8'	40.00	min:	3.7658E-013	max:	2.57386E-012	ABS B	T_min:	5E-007	
'0/9'	44.00	min:	6.51938E-012	max:	5.15873E-011	ABS A,B	T_min:	5E-007	T_max:	1E-008	
Cycle	Date	Time	RelTime[s]	'0/0'	'0/1'	'0/2'	Threshold	'0/3'	'0/4'	Threshold	'0/5'	Threshold	'0/6'	Threshold	'0/7'	Threshold	'0/8'	Threshold	'0/9'	Threshold	
21	10/10/2022	11:11:09:44 pm	224.445	4.37729E-010	3.80359E-011	1.7858E-011	HL	3.92726E-011	6.3965E-011	L	1.11723E-010	HL	1.555E-010	L	6.59346E-013	H	2.35286E-012	L	5.13982E-011	HL	
22	10/10/2022	11:11:20:46 pm	235.462	4.42172E-010	3.81257E-011	1.78294E-011	HL	3.97126E-011	6.41387E-011	L	1.12332E-010	HL	1.56879E-010	L	6.87591E-013	H	2.3793E-012	L	5.10687E-011	HL	
23	10/10/2022	11:11:31:54 pm	246.541	4.39564E-010	3.82527E-011	1.80693E-011	HL	3.94654E-011	6.42548E-011	L	1.11975E-010	HL	1.58529E-010	L	6.29382E-013	H	2.40208E-012	L	5.13252E-011	HL	
24	10/10/2022	11:11:42:67 pm	257.678	4.42501E-010	3.85509E-011	1.81807E-011	HL	4.00962E-011	6.44925E-011	L	1.12083E-010	HL	1.5873E-010	L	6.60986E-013	H	2.44181E-012	L	5.09853E-011	HL	
25	10/10/2022	11:11:53:75 pm	268.756	4.44047E-010	3.87941E-011	1.82567E-011	HL	3.99526E-011	6.39151E-011	L	1.12429E-010	HL	1.59131E-010	L	6.35094E-013	H	2.35121E-012	L	5.08655E-011	HL	
26	10/10/2022	11:12:04:83 pm	279.834	4.42472E-010	3.89897E-011	1.81112E-011	HL	4.01729E-011	6.52464E-011	L	1.11536E-010	HL	1.60378E-010	L	6.67594E-013	H	2.38232E-012	L	5.11869E-011	HL	
27	10/10/2022	11:12:15:91 pm	290.911	4.44006E-010	3.93565E-011	1.84646E-011	HL	3.96975E-011	6.49114E-011	L	1.12306E-010	HL	1.61381E-010	L	6.54153E-013	H	2.41711E-012	L	5.12946E-011	HL	
28	10/10/2022	11:12:26:98 pm	301.989	4.4391E-010	3.92493E-011	1.8089E-011	HL	3.957E-011	6.46042E-011	L	1.12738E-010	HL	1.61136E-010	L	6.41711E-013	H	2.4252E-012	L	5.11762E-011	HL	
29	10/10/2022	11:12:37:99 pm	312.996	4.44568E-010	3.93431E-011	1.80683E-011	HL	4.01154E-011	6.50231E-011	L	1.12455E-010	HL	1.62194E-010	L	6.37462E-013	H	2.4672E-012	L	5.09285E-011	HL	
30	10/10/2022	11:12:49:00 pm	324.005	4.40801E-010	3.96804E-011	1.86642E-011	HL	3.98561E-011	6.54165E-011	L	1.12612E-010	HL	1.62241E-010	L	6.81386E-013	H	2.47851E-012	L	5.08363E-011	HL	
31	10/10/2022	11:13:00:08 pm	335.083	4.43289E-010	3.96961E-011	1.83759E-011	HL	4.04757E-011	6.48984E-011	L	1.12719E-010	HL	1.63018E-010	L	6.80222E-013	H	2.42447E-012	L	5.08483E-011	HL	
32	10/10/2022	11:13:11:16 pm	346.16	4.43048E-010	3.97208E-011	1.83039E-011	HL	4.00537E-011	6.50583E-011	L	1.12271E-010	HL	1.62896E-010	L	6.4421E-013	H	2.43789E-012	L	5.12319E-011	HL	
33	10/10/2022	11:13:22:23 pm	357.238	4.44681E-010	3.9773E-011	1.85056E-011	HL	4.03072E-011	6.51761E-011	L	1.12323E-010	HL	1.63337E-010	L	6.5975E-013	H	2.48071E-012	L	5.11346E-011	HL	
34	10/10/2022	11:13:33:31 pm	368.316	4.43741E-010	3.96462E-011	1.84684E-011	HL	4.03947E-011	6.53138E-011	L	1.12793E-010	HL	1.64309E-010	L	6.67746E-013	H	2.41167E-012	L	5.10199E-011	HL	
35	10/10/2022	11:13:44:32 pm	379.324	4.44756E-010	3.98604E-011	1.83668E-011	HL	4.03425E-011	6.51457E-011	L	1.12656E-010	HL	1.643E-010	L	6.43016E-013	H	2.42936E-012	L	5.08442E-011	HL	
36	10/10/2022	11:13:55:40 pm	390.401	4.42082E-010	4.00289E-011	1.85259E-011	HL	4.02645E-011	6.53184E-011	L	1.1333E-010	HL	1.64857E-010	L	6.81871E-013	H	2.44354E-012	L	5.07774E-011	HL	
37	10/10/2022	11:14:06:41 pm	401.419	4.43473E-010	4.01257E-011	1.84703E-011	HL	4.03898E-011	6.51702E-011	L	1.12932E-010	HL	1.65315E-010	L	6.57902E-013	H	2.50422E-012	L	5.09285E-011	HL	
38	10/10/2022	11:14:17:42 pm	412.427	4.41036E-010	3.9686E-011	1.82643E-011	HL	4.0308E-011	6.51201E-011	L	1.13562E-010	HL	1.65488E-010	L	6.68508E-013	H	2.49754E-012	L	5.0518E-011	HL	
39	10/10/2022	11:14:28:51 pm	423.515	4.41412E-010	3.98159E-011	1.869E-011	HL	4.034E-011	6.51946E-011	L	1.12936E-010	HL	1.64835E-010	L	6.79529E-013	H	2.45192E-012	L	5.052E-011	HL	
40	10/10/2022	11:14:39:59 pm	434.594	4.43259E-010	3.99029E-011	1.83138E-011	HL	4.02709E-011	6.48549E-011	L	1.13601E-010	HL	1.65808E-010	L	6.54097E-013	H	2.50415E-012	L	5.06663E-011	HL	
41	10/10/2022	11:14:50:61 pm	445.61	4.43029E-010	4.01666E-011	1.84748E-011	HL	4.02586E-011	6.56082E-011	L	1.13907E-010	HL	1.66184E-010	L	6.69482E-013	H	2.51287E-012	L	5.08295E-011	HL	
42	10/10/2022	11:15:01:62 pm	456.629	4.44451E-010	4.00191E-011	1.8412E-011	HL	4.03466E-011	6.54583E-011	L	1.13484E-010	HL	1.66065E-010	L	6.79681E-013	H	2.46259E-012	L	5.06905E-011	HL	
43	10/10/2022	11:15:12:64 pm	467.646	4.42302E-010	4.02013E-011	1.86115E-011	HL	4.0143E-011	6.52012E-011	L	1.143E-010	HL	1.66628E-010	L	6.82806E-013	H	2.47013E-012	L	5.09888E-011	HL	
44	10/10/2022	11:15:23:65 pm	478.654	4.44457E-010	4.01678E-011	1.85088E-011	HL	4.0402E-011	6.54089E-011	L	1.13957E-010	HL	1.67225E-010	L	6.93162E-013	H	2.48686E-012	L	5.05792E-011	HL	
45	10/10/2022	11:15:34:73 pm	489.732	4.42309E-010	4.03095E-011	1.8413E-011	HL	3.99668E-011	6.49089E-011	L	1.13949E-010	HL	1.66746E-010	L	6.98032E-013	H	2.54614E-012	L	5.03708E-011	HL	
46	10/10/2022	11:15:45:87 pm	500.87	4.41159E-010	3.98974E-011	1.8447E-011	HL	4.03285E-011	6.50539E-011	L	1.14239E-010	HL	1.67168E-010	L	6.7119E-013	H	2.50423E-012	L	5.03124E-011	HL	
