	p_H2 during ESD	H2 base pressure	conductance factor	Temp
2		0.0	0.01992516581153798	4.2
3		0.0	0.01992516581153798	4.2
4		0.0	0.01992516581153798	4.2
5		0.0	0.01992516581153798	4.2
6		0.0	0.01992516581153798	4.2
7		0.0	0.01992516581153798	4.2
8		0.0	0.01992516581153798	4.2
9		0.0	0.01992516581153798	4.2
10		0.0	0.01992516581153798	4.2
11		0.0	0.01992516581153798	4.2
12		0.0	0.01992516581153798	4.2
13		0.0	0.01992516581153798	4.2
14		0.0	0.01992516581153798	4.2
15		0.0	0.01992516581153798	4.2
16		9.816239635259538e-13	0.01992516581153798	4.2
17		1.9275548196824147e-12	0.01992516581153798	4.2
18		1.5516975075611692e-12	0.01992516581153798	4.2
19		2.341137586923654e-12	0.01992516581153798	4.2
20		1.7850364336736446e-12	0.01992516581153798	4.2
21		0.0	0.01992516581153798	4.2
22		3.5651190197051417e-12	0.01992516581153798	4.2
23		1.9806499046661262e-12	0.01992516581153798	4.2
24		3.4896681094651997e-12	0.01992516581153798	4.2
25		1.8227618887935934e-12	0.01992516581153798	4.2
26		2.7756789403426574e-12	0.01992516581153798	4.2
27		3.880895051450118e-12	0.01992516581153798	4.2
28		2.528367623445021e-12	0.01992516581153798	4.2
29		2.6708860094538358e-12	0.01992516581153798	4.2
30		3.151536252463903e-12	0.01992516581153798	4.2
31		1.2065794551673145e-12	0.01992516581153798	4.2
32		1.7920226290662028e-12	0.01992516581153798	4.2
33		1.424548751416072e-12	0.01992516581153798	4.2
34		4.255355124492896e-12	0.01992516581153798	4.2
35		4.315436404869121e-12	0.01992516581153798	4.2
36		5.156574330136761e-12	0.01992516581153798	4.2
37		2.2209750261711598e-12	0.01992516581153798	4.2
38		4.045769262715208e-12	0.01992516581153798	4.2
39		2.2880425019399876e-12	0.01992516581153798	4.2
40		9.131592486786146e-13	0.01992516581153798	4.2
41		3.2716988132164422e-12	0.01992516581153798	4.2
42	2.077059401083833e-12		0.01992516581153798	4.2
43	2.641543988804957e-12		0.01992516581153798	4.2
44	3.85714198711533e-12		0.01992516581153798	4.2
45	3.2870684430801147e-12		0.01992516581153798	4.2
46	1.5318694148195818e-11		0.01992516581153798	4.2
47	1.0684052124752663e-11		0.01992516581153798	4.2
48	8.574221116190984e-12		0.01992516581153798	4.2
49	8.093570873180919e-12		0.01992516581153798	4.2
50	8.792190412439742e-12		0.01992516581153798	4.2
51	6.170969901140605e-12		0.01992516581153798	4.2
52	7.485771874025708e-12		0.01992516581153798	4.2
53	5.374543626385518e-12		0.01992516581153798	4.2
54	6.9813685666808545e-12		0.01992516581153798	4.2
55	4.931618838495445e-12		0.01992516581153798	4.2
56	4.045769262715208e-12		0.01992516581153798	4.2
57	7.019094021800849e-12		0.01992516581153798	4.2
58	6.043821144995509e-12		0.01992516581153798	4.2
59	4.49568024599793e-12		0.01992516581153798	4.2
60	4.7443888019740785e-12		0.01992516581153798	4.2
61	3.729993230970233e-12		0.01992516581153798	4.2
62	3.2786850086089997e-12		0.01992516581153798	4.2
63	3.1892617075838962e-12		0.01992516581153798	4.2
64	2.7756789403426574e-12		0.01992516581153798	4.2
65	1.0193494186459477e-12		0.01992516581153798	4.2
66	2.993648236591415e-12		0.01992516581153798	4.2
67	3.850155791722772e-12		0.01992516581153798	4.2
68	3.2870684430801147e-12		0.01992516581153798	4.2
69	1.7249551532973752e-12		0.01992516581153798	4.2
70	1.4175625560234688e-12		0.01992516581153798	4.2
71	1.1772374345184354e-12		0.01992516581153798	4.2
72	2.183249571051166e-12		0.01992516581153798	4.2
73	9.285288785422875e-13		0.01992516581153798	4.2
74	2.70861146457383e-12		0.01992516581153798	4.2
75	1.4999996616560145e-12		0.01992516581153798	4.2
76	3.400244808440051e-12		0.01992516581153798	4.2
