	Live comments	Elapsed time	Coverage	Time	Base_p corrected BA1	Base_p corrected BA2	H2 4K BA2	H2 4K BA1	corr BA2	corr BA1	injection 100mbar	Barion_2	Barion_1	DUAL experiment	DUAL insulation	injection 1mbar	helium	T-platinum	T-CERNOX	I_emission	I_grid
666		237.00000000000003	151786091916681.47	2022-12-14 16:28:50	9.5735e-10	3.3229999999999994e-09	1.2304347826086956e-07	1.217391304347826e-07	1.2304347826086956e-07	1.217391304347826e-07	96.302	5.66e-08	5.6e-08	3.661e-08	3.366e-07	1.1	406.0	-5.05	4283.821		
667		244.00000000000003	151786091916681.47	2022-12-14 16:28:57	9.5735e-10	3.3229999999999994e-09	1.2304347826086956e-07	1.217391304347826e-07	1.2304347826086956e-07	1.217391304347826e-07	96.302	5.66e-08	5.6e-08	3.665e-08	3.366e-07	1.1	406.0	-5.387	4283.933		
668		251.00000000000003	151786091916681.47	2022-12-14 16:29:04	9.5735e-10	3.3229999999999994e-09	1.2304347826086956e-07	1.217391304347826e-07	1.2304347826086956e-07	1.217391304347826e-07	96.302	5.66e-08	5.6e-08	3.661e-08	3.37e-07	1.1	407.0	-5.275	4283.933		
669		259.0	151786091916681.47	2022-12-14 16:29:12	9.5735e-10	3.3229999999999994e-09	1.2304347826086956e-07	1.217391304347826e-07	1.2304347826086956e-07	1.217391304347826e-07	96.302	5.66e-08	5.6e-08	3.661e-08	3.366e-07	1.1	406.0	-5.163	4284.158		
670		266.0	175137798365458.94	2022-12-14 16:29:19	9.5735e-10	3.3229999999999994e-09	1.232608695652174e-07	1.217391304347826e-07	1.232608695652174e-07	1.217391304347826e-07	96.306	5.67e-08	5.6e-08	3.665e-08	3.37e-07	1.1	406.0	-5.275	4284.27		
671		273.0	198489504814236.3	2022-12-14 16:29:26	9.5735e-10	3.3229999999999994e-09	1.2304347826086956e-07	1.2195652173913042e-07	1.2304347826086956e-07	1.2195652173913042e-07	96.302	5.66e-08	5.61e-08	3.665e-08	3.37e-07	1.1	406.0	-5.05	4284.158		
672		280.0	221841211263013.75	2022-12-14 16:29:33	9.5735e-10	3.3229999999999994e-09	1.2304347826086956e-07	1.217391304347826e-07	1.2304347826086956e-07	1.217391304347826e-07	96.306	5.66e-08	5.6e-08	3.661e-08	3.374e-07	1.1	406.0	-5.163	4284.27		
673		287.0	221841211263013.75	2022-12-14 16:29:40	9.5735e-10	3.3229999999999994e-09	1.2304347826086956e-07	1.217391304347826e-07	1.2304347826086956e-07	1.217391304347826e-07	96.306	5.66e-08	5.6e-08	3.656e-08	3.378e-07	1.1	406.0	-5.163	4284.382		
674		294.0	221841211263013.75	2022-12-14 16:29:47	9.5735e-10	3.3229999999999994e-09	1.2304347826086956e-07	1.217391304347826e-07	1.2304347826086956e-07	1.217391304347826e-07	96.306	5.66e-08	5.6e-08	3.656e-08	3.378e-07	1.1	406.0	-5.275	4284.382		
675		302.0	221841211263013.75	2022-12-14 16:29:55	9.5735e-10	3.3229999999999994e-09	1.2304347826086956e-07	1.217391304347826e-07	1.2304347826086956e-07	1.217391304347826e-07	96.306	5.66e-08	5.6e-08	3.656e-08	3.378e-07	1.1	406.0	-5.275	4284.495		
676		309.0	221841211263013.75	2022-12-14 16:30:02	9.5735e-10	3.3229999999999994e-09	1.2304347826086956e-07	1.217391304347826e-07	1.2304347826086956e-07	1.217391304347826e-07	96.306	5.66e-08	5.6e-08	3.656e-08	3.382e-07	1.1	406.0	-5.387	4284.495		
677		316.0	221841211263013.75	2022-12-14 16:30:09	9.5735e-10	3.3229999999999994e-09	1.2304347826086956e-07	1.217391304347826e-07	1.2304347826086956e-07	1.217391304347826e-07	96.306	5.66e-08	5.6e-08	3.648e-08	3.382e-07	1.1	406.0	-5.163	4284.831		
678		323.0	221841211263013.75	2022-12-14 16:30:16	9.5735e-10	3.3229999999999994e-09	1.2304347826086956e-07	1.217391304347826e-07	1.2304347826086956e-07	1.217391304347826e-07	96.306	5.66e-08	5.6e-08	3.648e-08	3.386e-07	1.1	406.0	-5.163	4284.719		
679		330.0	221841211263013.75	2022-12-14 16:30:23	9.5735e-10	3.3229999999999994e-09	1.2304347826086956e-07	1.217391304347826e-07	1.2304347826086956e-07	1.217391304347826e-07	96.306	5.66e-08	5.6e-08	3.643e-08	3.382e-07	1.1	406.0	-5.163	4284.831		
680		338.0	221841211263013.75	2022-12-14 16:30:31	9.5735e-10	3.3229999999999994e-09	1.2282608695652173e-07	1.2152173913043476e-07	1.2282608695652173e-07	1.2152173913043476e-07	96.306	5.65e-08	5.59e-08	3.639e-08	3.386e-07	1.1	406.0	-5.163	4284.944		
681		345.0	221841211263013.75	2022-12-14 16:30:38	9.5735e-10	3.3229999999999994e-09	1.2282608695652173e-07	1.2152173913043476e-07	1.2282608695652173e-07	1.2152173913043476e-07	96.306	5.65e-08	5.59e-08	3.643e-08	3.398e-07	1.1	406.0	-5.275	4285.168		
682		352.0	221841211263013.75	2022-12-14 16:30:45	9.5735e-10	3.3229999999999994e-09	1.2282608695652173e-07	1.2152173913043476e-07	1.2282608695652173e-07	1.2152173913043476e-07	96.306	5.65e-08	5.59e-08	3.635e-08	3.398e-07	1.1	406.0	-5.05	4285.056		
683		359.0	239354991099676.47	2022-12-14 16:30:52	9.5735e-10	3.3229999999999994e-09	1.2282608695652173e-07	1.2152173913043476e-07	1.2282608695652173e-07	1.2152173913043476e-07	96.303	5.65e-08	5.59e-08	3.643e-08	3.398e-07	1.1	406.0	-5.275	4285.168		
684		366.0	245192917711897.38	2022-12-14 16:30:59	9.5735e-10	3.3229999999999994e-09	1.2282608695652173e-07	1.2152173913043476e-07	1.2282608695652173e-07	1.2152173913043476e-07	96.304	5.65e-08	5.59e-08	3.639e-08	3.402e-07	1.1	406.0	-5.163	4285.168		
685		374.0	256868770936339.12	2022-12-14 16:31:07	9.5735e-10	3.3229999999999994e-09	1.2282608695652173e-07	1.2152173913043476e-07	1.2282608695652173e-07	1.2152173913043476e-07	96.306	5.65e-08	5.59e-08	3.639e-08	3.402e-07	1.1	406.0	-5.05	4285.056		
686		381.0	262706697548560.0	2022-12-14 16:31:14	9.5735e-10	3.3229999999999994e-09	1.2282608695652173e-07	1.2152173913043476e-07	1.2282608695652173e-07	1.2152173913043476e-07	96.305	5.65e-08	5.59e-08	3.639e-08	3.402e-07	1.1	405.0	-5.163	4285.28		
