F1((1=on,0=off))	1
F2((1=on,0=off))	0
cage(V)	3.0
delta-m(%)	+0
electron-energy(V)	70.0
emission(uA)	1000.000
focus(V)	-90
mass(amu)	18.00
mode-change-delay()	
multiplier(V)	810
resolution(%)	+0
Data()	
mass 2.0_time	mass 2.0_value	mass 4.0_time	mass 4.0_value	mass 12.0_time	mass 12.0_value	mass 15.0_time	mass 15.0_value	mass 16.0_time	mass 16.0_value	mass 18.0_time	mass 18.0_value	mass 28.0_time	mass 28.0_value	mass 32.0_time	mass 32.0_value	mass 40.0_time	mass 40.0_value	mass 44.0_time	mass 44.0_value
2023/05/11 10:56:35.552	0.00000000000155746000	2023/05/11 10:56:35.752	0.00000000000015894900	2023/05/11 10:56:35.952	0.00000000000005617200	2023/05/11 10:56:36.152	0.00000000000004164440	2023/05/11 10:56:36.352	0.00000000000005411760	2023/05/11 10:56:36.553	0.00000000000013405200	2023/05/11 10:56:37.254	0.00000000000021500000	2023/05/11 10:56:37.454	0.00000000000010750000	2023/05/11 10:56:37.654	0.00000000000000000000	2023/05/11 10:56:37.855	0.00000000000043000000
2023/05/11 10:56:41.127	0.00000000000155133000	2023/05/11 10:56:41.327	0.00000000000011465900	2023/05/11 10:56:41.527	0.00000000000003664670	2023/05/11 10:56:41.727	0.00000000000003918910	2023/05/11 10:56:41.927	0.00000000000004331500	2023/05/11 10:56:42.128	0.00000000000013302000	2023/05/11 10:56:42.829	0.00000000000043000000	2023/05/11 10:56:43.229	0.00000000000000000000	2023/05/11 10:56:43.430	0.00000000000000000000
2023/05/11 10:56:46.702	0.00000000000156799000	2023/05/11 10:56:46.902	0.00000000000015707900	2023/05/11 10:56:47.102	0.00000000000003935570	2023/05/11 10:56:47.302	0.00000000000003020750	2023/05/11 10:56:47.502	0.00000000000005002300	2023/05/11 10:56:47.703	0.00000000000014551200	2023/05/11 10:56:48.404	0.00000000000010750000	2023/05/11 10:56:48.604	0.00000000000043000000	2023/05/11 10:56:48.804	0.00000000000021500000	2023/05/11 10:56:49.005	0.00000000000021500000
2023/05/11 10:56:52.277	0.00000000000156337000	2023/05/11 10:56:52.477	0.00000000000009226730	2023/05/11 10:56:52.677	0.00000000000003821620	2023/05/11 10:56:52.877	0.00000000000004413630	2023/05/11 10:56:53.077	0.00000000000004852120	2023/05/11 10:56:53.278	0.00000000000018961900	2023/05/11 10:56:53.979	0.00000000000021500000	2023/05/11 10:56:54.179	0.00000000000010750000	2023/05/11 10:56:54.580	0.00000000000010750000
2023/05/11 10:56:57.852	0.00000000000160992000	2023/05/11 10:56:58.052	0.00000000000012084000	2023/05/11 10:56:58.252	0.00000000000003090510	2023/05/11 10:56:58.452	0.00000000000004316980	2023/05/11 10:56:58.652	0.00000000000005208590	2023/05/11 10:56:58.853	0.00000000000016035700	2023/05/11 10:56:59.554	0.00000000000021500000	2023/05/11 10:56:59.754	0.00000000000010750000	2023/05/11 10:56:59.954	0.00000000000010750000	2023/05/11 10:57:00.155	0.00000000000010750000
2023/05/11 10:57:03.427	0.00000000000152983000	2023/05/11 10:57:03.627	0.00000000000010092100	2023/05/11 10:57:03.827	0.00000000000004160030	2023/05/11 10:57:04.027	0.00000000000004235180	2023/05/11 10:57:04.227	0.00000000000004789660	2023/05/11 10:57:04.428	0.00000000000015851900	2023/05/11 10:57:05.129	0.00000000000021500000	2023/05/11 10:57:05.329	0.00000000000000000000	2023/05/11 10:57:05.529	0.00000000000010750000	2023/05/11 10:57:05.730	0.00000000000032250000
2023/05/11 10:57:09.002	0.00000000000158003000	2023/05/11 10:57:09.202	0.00000000000010045800	2023/05/11 10:57:09.402	0.00000000000003892680	2023/05/11 10:57:09.602	0.00000000000002985270	2023/05/11 10:57:09.802	0.00000000000006095140	2023/05/11 10:57:10.003	0.00000000000010181300	2023/05/11 10:57:10.704	0.00000000000032250000	2023/05/11 10:57:10.904	0.00000000000010750000	2023/05/11 10:57:11.104	0.00000000000000000000	2023/05/11 10:57:11.305	0.00000000000010750000
2023/05/11 10:57:14.577	0.00000000000157777000	2023/05/11 10:57:14.777	0.00000000000007941020	2023/05/11 10:57:14.977	0.00000000000003977500	2023/05/11 10:57:15.177	0.00000000000004663130	2023/05/11 10:57:15.377	0.00000000000006067840	2023/05/11 10:57:15.578	0.00000000000016194800	2023/05/11 10:57:16.279	0.00000000000021500000	2023/05/11 10:57:16.479	0.00000000000021500000	2023/05/11 10:57:16.679	0.00000000000032250000	2023/05/11 10:57:16.880	0.00000000000053750000
2023/05/11 10:57:20.152	0.00000000000158197000	2023/05/11 10:57:20.352	0.00000000000005311470	2023/05/11 10:57:20.552	0.00000000000003859460	2023/05/11 10:57:20.752	0.00000000000003430640	2023/05/11 10:57:20.952	0.00000000000004088440	2023/05/11 10:57:21.153	0.00000000000012933300	2023/05/11 10:57:21.854	0.00000000000000000000	2023/05/11 10:57:22.254	0.00000000000000000000
2023/05/11 10:57:25.727	0.00000000000163324000	2023/05/11 10:57:25.927	0.00000000000004065110	2023/05/11 10:57:26.127	0.00000000000004635180	2023/05/11 10:57:26.327	0.00000000000005252560	2023/05/11 10:57:26.527	0.00000000000005586670	2023/05/11 10:57:26.727	0.00000000000013855600	2023/05/11 10:57:27.429	0.00000000000043000000	2023/05/11 10:57:27.629	0.00000000000000000000	2023/05/11 10:57:27.829	0.00000000000021500000	2023/05/11 10:57:28.030	0.00000000000010750000
