	Timestamp, mass 2	mass 2.0_value	Timestamp, mass 4	mass 4.0_value	Timestamp, mass 5.5	mass 5.5_value	Timestamp, mass 12	mass 12.0_value	Timestamp, mass 15	mass 15.0_value	Timestamp, mass 16	mass 16.0_value	Timestamp, mass 18	mass 18.0_value	Timestamp, mass 28	mass 28.0_value	Timestamp, mass 32	mass 32.0_value	Timestamp, mass 40	mass 40.0_value	Timestamp, mass 44	mass 44.0_value
17	2022-12-13 17:36:18.883		2022-12-13 17:36:18.883		2022-12-13 17:36:18.883		2022-12-13 17:36:18.883		2022-12-13 17:36:18.883		2022-12-13 17:36:18.884		2022-12-13 17:36:18.883		2022-12-13 17:36:18.883		2022-12-13 17:36:18.884		2022-12-13 17:36:18.883		2022-12-13 17:34:31.358	
18	2022-12-13 17:36:25.208		2022-12-13 17:36:25.208		2022-12-13 17:36:25.208		2022-12-13 17:36:25.208		2022-12-13 17:36:25.208		2022-12-13 17:36:25.209		2022-12-13 17:36:25.208		2022-12-13 17:36:25.208		2022-12-13 17:36:25.209		2022-12-13 17:36:25.208		2022-12-13 17:34:31.358	
19	2022-12-13 17:36:31.533		2022-12-13 17:36:31.533		2022-12-13 17:36:31.533		2022-12-13 17:36:31.533		2022-12-13 17:36:31.533		2022-12-13 17:36:31.534		2022-12-13 17:36:31.533		2022-12-13 17:36:31.533		2022-12-13 17:36:31.534		2022-12-13 17:36:31.533		2022-12-13 17:34:31.358	
20	2022-12-13 17:36:37.858		2022-12-13 17:36:37.858		2022-12-13 17:36:37.858		2022-12-13 17:36:37.858		2022-12-13 17:36:37.858		2022-12-13 17:36:37.859		2022-12-13 17:36:37.858		2022-12-13 17:36:37.858		2022-12-13 17:36:37.859		2022-12-13 17:36:37.858		2022-12-13 17:34:31.358	
21	2022-12-13 17:36:44.183		2022-12-13 17:36:44.183		2022-12-13 17:36:44.183		2022-12-13 17:36:44.183		2022-12-13 17:36:44.183		2022-12-13 17:36:44.184		2022-12-13 17:36:44.183		2022-12-13 17:36:44.184		2022-12-13 17:36:44.184		2022-12-13 17:36:44.183		2022-12-13 17:34:31.358	
22	2022-12-13 17:36:50.508		2022-12-13 17:36:50.508		2022-12-13 17:36:50.508		2022-12-13 17:36:50.508		2022-12-13 17:36:50.508		2022-12-13 17:36:50.509		2022-12-13 17:36:50.508		2022-12-13 17:36:50.508		2022-12-13 17:36:50.509		2022-12-13 17:36:50.508		2022-12-13 17:34:31.358	
23	2022-12-13 17:36:56.833		2022-12-13 17:36:56.833		2022-12-13 17:36:56.833		2022-12-13 17:36:56.833		2022-12-13 17:36:56.833		2022-12-13 17:36:56.834		2022-12-13 17:36:56.833		2022-12-13 17:36:56.833		2022-12-13 17:36:56.834		2022-12-13 17:36:56.833		2022-12-13 17:34:31.358	
24	2022-12-13 17:37:03.158		2022-12-13 17:37:03.158		2022-12-13 17:37:03.158		2022-12-13 17:37:03.158		2022-12-13 17:37:03.158		2022-12-13 17:37:03.159		2022-12-13 17:37:03.158		2022-12-13 17:37:03.158		2022-12-13 17:37:03.159		2022-12-13 17:37:03.158		2022-12-13 17:34:31.358	
25	2022-12-13 17:37:09.483		2022-12-13 17:37:09.483		2022-12-13 17:37:09.483		2022-12-13 17:37:09.483		2022-12-13 17:37:09.483		2022-12-13 17:37:09.484		2022-12-13 17:37:09.483		2022-12-13 17:37:09.484		2022-12-13 17:37:09.484		2022-12-13 17:37:09.483		2022-12-13 17:34:31.358	
26	2022-12-13 17:37:15.808		2022-12-13 17:37:15.808		2022-12-13 17:37:15.808		2022-12-13 17:37:15.808		2022-12-13 17:37:15.808		2022-12-13 17:37:15.809		2022-12-13 17:37:15.808		2022-12-13 17:37:15.808		2022-12-13 17:37:15.809		2022-12-13 17:37:15.808		2022-12-13 17:34:31.358	
