	p_H2 during ESD	H2 base pressure	conductance factor	Temp
2		0.0	0.01992516581153798	4.2
3		0.0	0.01992516581153798	4.2
4		0.0	0.01992516581153798	4.2
5		0.0	0.01992516581153798	4.2
6		0.0	0.01992516581153798	4.2
7		0.0	0.01992516581153798	4.2
8		0.0	0.01992516581153798	4.2
9		0.0	0.01992516581153798	4.2
10		0.0	0.01992516581153798	4.2
11		0.0	0.01992516581153798	4.2
12		0.0	0.01992516581153798	4.2
13		0.0	0.01992516581153798	4.2
14		0.0	0.01992516581153798	4.2
15		0.0	0.01992516581153798	4.2
16		9.816239635258185e-13	0.01992516581153798	4.2
17		1.9275548196822794e-12	0.01992516581153798	4.2
18		1.551697507561034e-12	0.01992516581153798	4.2
19		2.341137586923518e-12	0.01992516581153798	4.2
20		1.7850364336735093e-12	0.01992516581153798	4.2
21		0.0	0.01992516581153798	4.2
22		3.5651190197050064e-12	0.01992516581153798	4.2
23		1.980649904665991e-12	0.01992516581153798	4.2
24		3.4896681094650644e-12	0.01992516581153798	4.2
25		1.8227618887934577e-12	0.01992516581153798	4.2
26		2.7756789403425217e-12	0.01992516581153798	4.2
27		3.880895051449982e-12	0.01992516581153798	4.2
28		2.5283676234448854e-12	0.01992516581153798	4.2
29		2.6708860094537005e-12	0.01992516581153798	4.2
30		3.151536252463767e-12	0.01992516581153798	4.2
31		1.2065794551671792e-12	0.01992516581153798	4.2
32		1.7920226290660675e-12	0.01992516581153798	4.2
33		1.4245487514159366e-12	0.01992516581153798	4.2
34		4.255355124492761e-12	0.01992516581153798	4.2
35		4.315436404868986e-12	0.01992516581153798	4.2
36		5.156574330136626e-12	0.01992516581153798	4.2
37		2.2209750261710245e-12	0.01992516581153798	4.2
38		4.0457692627150734e-12	0.01992516581153798	4.2
39		2.288042501939852e-12	0.01992516581153798	4.2
40		9.13159248678479e-13	0.01992516581153798	4.2
41		3.271698813216307e-12	0.01992516581153798	4.2
42	2.0770594010836976e-12		0.01992516581153798	4.2
43	2.6415439888048212e-12		0.01992516581153798	4.2
44	3.857141987115195e-12		0.01992516581153798	4.2
45	3.2870684430799794e-12		0.01992516581153798	4.2
46	1.5318694148195682e-11		0.01992516581153798	4.2
47	1.068405212475253e-11		0.01992516581153798	4.2
48	8.57422111619085e-12		0.01992516581153798	4.2
49	8.093570873180783e-12		0.01992516581153798	4.2
50	8.792190412439608e-12		0.01992516581153798	4.2
51	6.17096990114047e-12		0.01992516581153798	4.2
52	7.485771874025574e-12		0.01992516581153798	4.2
53	5.374543626385383e-12		0.01992516581153798	4.2
54	6.98136856668072e-12		0.01992516581153798	4.2
55	4.9316188384953096e-12		0.01992516581153798	4.2
56	4.0457692627150734e-12		0.01992516581153798	4.2
57	7.0190940218007134e-12		0.01992516581153798	4.2
58	6.043821144995374e-12		0.01992516581153798	4.2
59	4.495680245997795e-12		0.01992516581153798	4.2
60	4.744388801973943e-12		0.01992516581153798	4.2
61	3.7299932309700975e-12		0.01992516581153798	4.2
62	3.2786850086088644e-12		0.01992516581153798	4.2
63	3.189261707583761e-12		0.01992516581153798	4.2
64	2.7756789403425217e-12		0.01992516581153798	4.2
65	1.0193494186458122e-12		0.01992516581153798	4.2
66	2.9936482365912796e-12		0.01992516581153798	4.2
67	3.8501557917226365e-12		0.01992516581153798	4.2
68	3.2870684430799794e-12		0.01992516581153798	4.2
69	1.7249551532972398e-12		0.01992516581153798	4.2
70	1.4175625560233335e-12		0.01992516581153798	4.2
71	1.1772374345183001e-12		0.01992516581153798	4.2
72	2.1832495710510306e-12		0.01992516581153798	4.2
73	9.285288785421518e-13		0.01992516581153798	4.2
74	2.7086114645736947e-12		0.01992516581153798	4.2
75	1.499999661655879e-12		0.01992516581153798	4.2
76	3.4002448084399156e-12		0.01992516581153798	4.2
