F1((1=on,0=off))	1
F2((1=on,0=off))	0
cage(V)	3.0
delta-m(%)	+0
electron-energy(V)	70.0
emission(uA)	1000.000
focus(V)	-90
mass(amu)	5.50
mode-change-delay()	
multiplier(V)	1200
resolution(%)	+0
Data()	
mass 2.0_time	mass 2.0_value	mass 4.0_time	mass 4.0_value	mass 12.0_time	mass 12.0_value	mass 16.0_time	mass 16.0_value	mass 18.0_time	mass 18.0_value	mass 28.0_time	mass 28.0_value	mass 32.0_time	mass 32.0_value	mass 40.0_time	mass 40.0_value	mass 44.0_time	mass 44.0_value
2022/11/17 16:10:20.276	0.00000000001886760000	2022/11/17 16:10:20.526	0.00000000000052296800	2022/11/17 16:10:20.777	0.00000000000036789900	2022/11/17 16:10:21.027	0.00000000000070657300	2022/11/17 16:10:21.277	0.00000000000111269000	2022/11/17 16:10:21.527	0.00000000000263343000	2022/11/17 16:10:21.777	0.00000000000013795600	2022/11/17 16:10:22.278	0.00000000000085360100
2022/11/17 16:10:22.599	0.00000000001864880000	2022/11/17 16:10:22.849	0.00000000000049476500	2022/11/17 16:10:23.099	0.00000000000033423500	2022/11/17 16:10:23.349	0.00000000000070414300	2022/11/17 16:10:23.599	0.00000000000107855000	2022/11/17 16:10:23.850	0.00000000000262301000	2022/11/17 16:10:24.100	0.00000000000017183000	2022/11/17 16:10:24.600	0.00000000000082394700
2022/11/17 16:10:24.921	0.00000000001878750000	2022/11/17 16:10:25.171	0.00000000000049856500	2022/11/17 16:10:25.421	0.00000000000033907800	2022/11/17 16:10:25.672	0.00000000000069981600	2022/11/17 16:10:25.922	0.00000000000108495000	2022/11/17 16:10:26.172	0.00000000000265112000	2022/11/17 16:10:26.422	0.00000000000014414800	2022/11/17 16:10:26.672	0.00000000000000220654	2022/11/17 16:10:26.923	0.00000000000083088600
2022/11/17 16:10:27.244	0.00000000001888270000	2022/11/17 16:10:27.494	0.00000000000050534900	2022/11/17 16:10:27.744	0.00000000000034296400	2022/11/17 16:10:27.994	0.00000000000074316000	2022/11/17 16:10:28.244	0.00000000000112247000	2022/11/17 16:10:28.495	0.00000000000260629000	2022/11/17 16:10:28.745	0.00000000000013177000	2022/11/17 16:10:29.245	0.00000000000084010400
2022/11/17 16:10:29.566	0.00000000001889560000	2022/11/17 16:10:29.816	0.00000000000052381700	2022/11/17 16:10:30.066	0.00000000000032609200	2022/11/17 16:10:30.317	0.00000000000072786800	2022/11/17 16:10:30.567	0.00000000000109301000	2022/11/17 16:10:30.817	0.00000000000263499000	2022/11/17 16:10:31.067	0.00000000000014132700	2022/11/17 16:10:31.568	0.00000000000081857700
2022/11/17 16:10:31.889	0.00000000001882080000	2022/11/17 16:10:32.139	0.00000000000052224800	2022/11/17 16:10:32.389	0.00000000000033661700	2022/11/17 16:10:32.639	0.00000000000072800800	2022/11/17 16:10:32.889	0.00000000000108694000	2022/11/17 16:10:33.140	0.00000000000257571000	2022/11/17 16:10:33.390	0.00000000000013771500	2022/11/17 16:10:33.640	0.00000000000000085312	2022/11/17 16:10:33.890	0.00000000000087285400
2022/11/17 16:10:34.211	0.00000000001893640000	2022/11/17 16:10:34.461	0.00000000000052665500	2022/11/17 16:10:34.712	0.00000000000033534300	2022/11/17 16:10:34.962	0.00000000000071336100	2022/11/17 16:10:35.212	0.00000000000112129000	2022/11/17 16:10:35.462	0.00000000000264827000	2022/11/17 16:10:35.712	0.00000000000013706400	2022/11/17 16:10:35.963	0.00000000000000069724	2022/11/17 16:10:36.213	0.00000000000083667500
2022/11/17 16:10:36.534	0.00000000001872410000	2022/11/17 16:10:36.784	0.00000000000051118100	2022/11/17 16:10:37.034	0.00000000000033675100	2022/11/17 16:10:37.284	0.00000000000075030900	2022/11/17 16:10:37.534	0.00000000000112908000	2022/11/17 16:10:37.785	0.00000000000251637000	2022/11/17 16:10:38.035	0.00000000000014855600	2022/11/17 16:10:38.535	0.00000000000081980300
2022/11/17 16:10:38.856	0.00000000001856770000	2022/11/17 16:10:39.106	0.00000000000054308700	2022/11/17 16:10:39.357	0.00000000000036494300	2022/11/17 16:10:39.607	0.00000000000063698300	2022/11/17 16:10:39.857	0.00000000000110957000	2022/11/17 16:10:40.107	0.00000000000260006000	2022/11/17 16:10:40.357	0.00000000000009941820	2022/11/17 16:10:40.607	0.00000000000000005224	2022/11/17 16:10:40.858	0.00000000000085207400
2022/11/17 16:10:41.179	0.00000000001886870000	2022/11/17 16:10:41.429	0.00000000000050598300	2022/11/17 16:10:41.679	0.00000000000034005100	2022/11/17 16:10:41.929	0.00000000000072761000	2022/11/17 16:10:42.179	0.00000000000108484000	2022/11/17 16:10:42.430	0.00000000000250653000	2022/11/17 16:10:42.680	0.00000000000015271100	2022/11/17 16:10:43.180	0.00000000000082932700
