F1((1=on,0=off))	1
F2((1=on,0=off))	0
cage(V)	3.0
delta-m(%)	+0
electron-energy(V)	70.0
emission(uA)	1000.000
focus(V)	-90
mass(amu)	2.00
mode-change-delay()	
multiplier(V)	1200
resolution(%)	+0
Data()	
mass 2.0_time	mass 2.0_value	mass 4.0_time	mass 4.0_value	mass 5.5_time	mass 5.5_value	mass 12.0_time	mass 12.0_value	mass 15.0_time	mass 15.0_value	mass 16.0_time	mass 16.0_value	mass 18.0_time	mass 18.0_value	mass 28.0_time	mass 28.0_value	mass 32.0_time	mass 32.0_value	mass 40.0_time	mass 40.0_value	mass 44.0_time	mass 44.0_value
2022/12/13 17:35:21.958	0.00000000001994280000	2022/12/13 17:35:22.208	0.00000000000095820100	2022/12/13 17:35:22.458	0.00000000000001858780	2022/12/13 17:35:22.708	0.00000000000017073100	2022/12/13 17:35:22.958	0.00000000000011573900	2022/12/13 17:35:23.209	0.00000000000041803000	2022/12/13 17:35:23.459	0.00000000000078907700	2022/12/13 17:35:23.709	0.00000000000087062100	2022/12/13 17:35:23.960	0.00000000000002664440	2022/12/13 17:35:24.210	0.00000000000001906880
2022/12/13 17:35:28.283	0.00000000001998480000	2022/12/13 17:35:28.533	0.00000000000098040000	2022/12/13 17:35:28.783	0.00000000000001622980	2022/12/13 17:35:29.033	0.00000000000017899800	2022/12/13 17:35:29.283	0.00000000000009582010	2022/12/13 17:35:29.534	0.00000000000045724000	2022/12/13 17:35:29.784	0.00000000000085443700	2022/12/13 17:35:30.034	0.00000000000080312200	2022/12/13 17:35:30.285	0.00000000000002388430	2022/12/13 17:35:30.535	0.00000000000001864740
2022/12/13 17:35:34.608	0.00000000002009440000	2022/12/13 17:35:34.858	0.00000000000098937600	2022/12/13 17:35:35.108	0.00000000000001612390	2022/12/13 17:35:35.358	0.00000000000017407400	2022/12/13 17:35:35.608	0.00000000000007286890	2022/12/13 17:35:35.859	0.00000000000046144900	2022/12/13 17:35:36.109	0.00000000000084176300	2022/12/13 17:35:36.359	0.00000000000089153000	2022/12/13 17:35:36.610	0.00000000000003934340	2022/12/13 17:35:36.860	0.00000000000001667110
2022/12/13 17:35:40.933	0.00000000002022610000	2022/12/13 17:35:41.183	0.00000000000098711900	2022/12/13 17:35:41.433	0.00000000000001580410	2022/12/13 17:35:41.683	0.00000000000018236800	2022/12/13 17:35:41.933	0.00000000000002293460	2022/12/13 17:35:42.184	0.00000000000044778600	2022/12/13 17:35:42.434	0.00000000000083984900	2022/12/13 17:35:42.684	0.00000000000085819400	2022/12/13 17:35:42.935	0.00000000000002505120	2022/12/13 17:35:43.185	0.00000000000001574660
2022/12/13 17:35:47.258	0.00000000002032340000	2022/12/13 17:35:47.508	0.00000000000100125000	2022/12/13 17:35:47.758	0.00000000000001131000	2022/12/13 17:35:48.008	0.00000000000018868400	2022/12/13 17:35:48.258	0.00000000000002254160	2022/12/13 17:35:48.509	0.00000000000046571700	2022/12/13 17:35:48.759	0.00000000000072027100	2022/12/13 17:35:49.010	0.00000000000087526000	2022/12/13 17:35:49.260	0.00000000000002328340	2022/12/13 17:35:49.510	0.00000000000003330400
2022/12/13 17:35:53.583	0.00000000002039110000	2022/12/13 17:35:53.833	0.00000000000098201300	2022/12/13 17:35:54.083	0.00000000000001848190	2022/12/13 17:35:54.333	0.00000000000020535200	2022/12/13 17:35:54.583	0.00000000000002475610	2022/12/13 17:35:54.834	0.00000000000045334900	2022/12/13 17:35:55.084	0.00000000000082403100	2022/12/13 17:35:55.334	0.00000000000091465300	2022/12/13 17:35:55.585	0.00000000000003653710	2022/12/13 17:35:55.835	0.00000000000001614430
2022/12/13 17:35:59.908	0.00000000002036420000	2022/12/13 17:36:00.158	0.00000000000099545000	2022/12/13 17:36:00.408	0.00000000000002473090	2022/12/13 17:36:00.658	0.00000000000017334900	2022/12/13 17:36:00.908	0.00000000000003898380	2022/12/13 17:36:01.159	0.00000000000044359300	2022/12/13 17:36:01.409	0.00000000000084594400	2022/12/13 17:36:01.659	0.00000000000092194200	2022/12/13 17:36:01.910	0.00000000000003606840	2022/12/13 17:36:02.160	0.00000000000001936550
2022/12/13 17:36:06.233	0.00000000002042070000	2022/12/13 17:36:06.483	0.00000000000097502500	2022/12/13 17:36:06.733	0.00000000000002199930	2022/12/13 17:36:06.983	0.00000000000018754400	2022/12/13 17:36:07.233	0.00000000000001894790	2022/12/13 17:36:07.484	0.00000000000043728300	2022/12/13 17:36:07.734	0.00000000000079319900	2022/12/13 17:36:07.984	0.00000000000092169400	2022/12/13 17:36:08.235	0.00000000000003289280	2022/12/13 17:36:08.485	0.00000000000002214170
2022/12/13 17:36:12.558	0.00000000002038090000	2022/12/13 17:36:12.808	0.00000000000100308000	2022/12/13 17:36:13.058	0.00000000000002240730	2022/12/13 17:36:13.308	0.00000000000018276000	2022/12/13 17:36:13.558	0.00000000000002389720	2022/12/13 17:36:13.809	0.00000000000043152100	2022/12/13 17:36:14.059	0.00000000000082302000	2022/12/13 17:36:14.309	0.00000000000090540300	2022/12/13 17:36:14.560	0.00000000000002902600	2022/12/13 17:36:14.810	0.00000000000001440760
2022/12/13 17:36:18.883	0.00000000002021100000	2022/12/13 17:36:19.133	0.00000000000096922000	2022/12/13 17:36:19.383	0.00000000000002068890	2022/12/13 17:36:19.633	0.00000000000020363100	2022/12/13 17:36:19.883	0.00000000000002803600	2022/12/13 17:36:20.134	0.00000000000044198600	2022/12/13 17:36:20.384	0.00000000000086008100	2022/12/13 17:36:20.634	0.00000000000086520800	2022/12/13 17:36:20.885	0.00000000000002369460	2022/12/13 17:36:21.135	0.00000000000001393030
