F1((1=on,0=off))	1
F2((1=on,0=off))	0
cage(V)	3.0
delta-m(%)	+0
electron-energy(V)	70.0
emission(uA)	1000.000
focus(V)	-90
mass(amu)	2.00
mode-change-delay()	
multiplier(V)	1200
resolution(%)	+0
Data()	
mass 2.0_time	mass 2.0_value	mass 4.0_time	mass 4.0_value	mass 12.0_time	mass 12.0_value	mass 16.0_time	mass 16.0_value	mass 18.0_time	mass 18.0_value	mass 28.0_time	mass 28.0_value	mass 32.0_time	mass 32.0_value	mass 40.0_time	mass 40.0_value	mass 44.0_time	mass 44.0_value
2022/11/24 16:40:09.730	0.00000000002464680000	2022/11/24 16:40:09.980	0.00000000000116746000	2022/11/24 16:40:10.231	0.00000000000024855800	2022/11/24 16:40:10.481	0.00000000000047281900	2022/11/24 16:40:10.731	0.00000000000116305000	2022/11/24 16:40:10.981	0.00000000000139681000	2022/11/24 16:40:11.231	0.00000000000002718680	2022/11/24 16:40:11.732	0.00000000000060572200
2022/11/24 16:40:12.053	0.00000000002447590000	2022/11/24 16:40:12.303	0.00000000000114881000	2022/11/24 16:40:12.553	0.00000000000023075600	2022/11/24 16:40:12.803	0.00000000000048640700	2022/11/24 16:40:13.054	0.00000000000115789000	2022/11/24 16:40:13.304	0.00000000000136934000	2022/11/24 16:40:13.554	0.00000000000002278680	2022/11/24 16:40:14.054	0.00000000000062206700
2022/11/24 16:40:14.375	0.00000000002449790000	2022/11/24 16:40:14.625	0.00000000000119164000	2022/11/24 16:40:14.876	0.00000000000024892900	2022/11/24 16:40:15.126	0.00000000000047532400	2022/11/24 16:40:15.376	0.00000000000111451000	2022/11/24 16:40:15.626	0.00000000000142169000	2022/11/24 16:40:15.876	0.00000000000002415850	2022/11/24 16:40:16.377	0.00000000000065376300
2022/11/24 16:40:16.698	0.00000000002442210000	2022/11/24 16:40:16.948	0.00000000000116418000	2022/11/24 16:40:17.198	0.00000000000023832900	2022/11/24 16:40:17.448	0.00000000000047264200	2022/11/24 16:40:17.698	0.00000000000113585000	2022/11/24 16:40:17.949	0.00000000000140810000	2022/11/24 16:40:18.199	0.00000000000002505510	2022/11/24 16:40:18.699	0.00000000000061780500
2022/11/24 16:40:19.020	0.00000000002452100000	2022/11/24 16:40:19.270	0.00000000000115853000	2022/11/24 16:40:19.521	0.00000000000023580300	2022/11/24 16:40:19.771	0.00000000000048184400	2022/11/24 16:40:20.021	0.00000000000118992000	2022/11/24 16:40:20.271	0.00000000000137504000	2022/11/24 16:40:20.521	0.00000000000002651280	2022/11/24 16:40:21.022	0.00000000000058091600
2022/11/24 16:40:21.343	0.00000000002446840000	2022/11/24 16:40:21.593	0.00000000000117229000	2022/11/24 16:40:21.843	0.00000000000022898200	2022/11/24 16:40:22.093	0.00000000000048587000	2022/11/24 16:40:22.343	0.00000000000112677000	2022/11/24 16:40:22.594	0.00000000000141707000	2022/11/24 16:40:22.844	0.00000000000002430040	2022/11/24 16:40:23.344	0.00000000000060985500
2022/11/24 16:40:23.665	0.00000000002432110000	2022/11/24 16:40:23.915	0.00000000000117041000	2022/11/24 16:40:24.166	0.00000000000023914600	2022/11/24 16:40:24.416	0.00000000000052495700	2022/11/24 16:40:24.666	0.00000000000116541000	2022/11/24 16:40:24.916	0.00000000000140079000	2022/11/24 16:40:25.166	0.00000000000002214240	2022/11/24 16:40:25.417	0.00000000000000288863	2022/11/24 16:40:25.667	0.00000000000062830200
2022/11/24 16:40:25.988	0.00000000002452860000	2022/11/24 16:40:26.238	0.00000000000115085000	2022/11/24 16:40:26.488	0.00000000000024166200	2022/11/24 16:40:26.738	0.00000000000049380900	2022/11/24 16:40:26.989	0.00000000000117251000	2022/11/24 16:40:27.239	0.00000000000141256000	2022/11/24 16:40:27.489	0.00000000000001254800	2022/11/24 16:40:27.739	0.00000000000000187114	2022/11/24 16:40:27.989	0.00000000000063791200
2022/11/24 16:40:28.310	0.00000000002467960000	2022/11/24 16:40:28.560	0.00000000000117772000	2022/11/24 16:40:28.811	0.00000000000022461800	2022/11/24 16:40:29.061	0.00000000000049388400	2022/11/24 16:40:29.311	0.00000000000116386000	2022/11/24 16:40:29.561	0.00000000000141691000	2022/11/24 16:40:29.811	0.00000000000003421460	2022/11/24 16:40:30.062	0.00000000000000066822	2022/11/24 16:40:30.312	0.00000000000062265800
2022/11/24 16:40:30.633	0.00000000002455490000	2022/11/24 16:40:30.883	0.00000000000118740000	2022/11/24 16:40:31.133	0.00000000000022336500	2022/11/24 16:40:31.383	0.00000000000046134400	2022/11/24 16:40:31.633	0.00000000000114133000	2022/11/24 16:40:31.884	0.00000000000138332000	2022/11/24 16:40:32.134	0.00000000000001929200	2022/11/24 16:40:32.384	0.00000000000000075207	2022/11/24 16:40:32.634	0.00000000000064979100
