F1((1=on,0=off))	1
F2((1=on,0=off))	0
cage(V)	3.0
delta-m(%)	+0
electron-energy(V)	70.0
emission(uA)	1000.000
focus(V)	-90
mass(amu)	5.50
mode-change-delay()	
multiplier(V)	1200
resolution(%)	+0
Data()	
mass 2.0_time	mass 2.0_value	mass 4.0_time	mass 4.0_value	mass 5.5_time	mass 5.5_value	mass 12.0_time	mass 12.0_value	mass 15.0_time	mass 15.0_value	mass 16.0_time	mass 16.0_value	mass 18.0_time	mass 18.0_value	mass 28.0_time	mass 28.0_value	mass 32.0_time	mass 32.0_value	mass 40.0_time	mass 40.0_value	mass 44.0_time	mass 44.0_value
2023/01/16 15:30:34.963	0.00000000011309500000	2023/01/16 15:30:38.214	0.00000000000001890710	2023/01/16 15:30:38.464	0.00000000000001963380	2023/01/16 15:30:38.714	0.00000000000032225800	2023/01/16 15:30:38.965	0.00000000000015892800	2023/01/16 15:30:39.215	0.00000000000071301000	2023/01/16 15:30:39.465	0.00000000000176262000	2023/01/16 15:30:39.715	0.00000000000167743000	2023/01/16 15:30:39.965	0.00000000000019380100	2023/01/16 15:30:40.216	0.00000000000010791300	2023/01/16 15:30:40.967	0.00000000002413370000
2023/01/16 15:30:41.288	0.00000000011319700000	2023/01/16 15:30:44.539	0.00000000000003486490	2023/01/16 15:30:44.789	0.00000000000005034490	2023/01/16 15:30:45.039	0.00000000000033760300	2023/01/16 15:30:45.290	0.00000000000019169400	2023/01/16 15:30:45.540	0.00000000000072316900	2023/01/16 15:30:45.790	0.00000000000173510000	2023/01/16 15:30:46.040	0.00000000000166367000	2023/01/16 15:30:46.290	0.00000000000019318200	2023/01/16 15:30:46.541	0.00000000000011282600	2023/01/16 15:30:47.292	0.00000000002445620000
2023/01/16 15:30:47.613	0.00000000011315900000	2023/01/16 15:30:50.864	0.00000000000002104900	2023/01/16 15:30:51.114	0.00000000000003193660	2023/01/16 15:30:51.364	0.00000000000032049500	2023/01/16 15:30:51.615	0.00000000000017306400	2023/01/16 15:30:51.865	0.00000000000070505500	2023/01/16 15:30:52.115	0.00000000000173811000	2023/01/16 15:30:52.365	0.00000000000162970000	2023/01/16 15:30:52.615	0.00000000000017324700	2023/01/16 15:30:52.866	0.00000000000010938600	2023/01/16 15:30:53.617	0.00000000002381120000
2023/01/16 15:30:53.938	0.00000000011267000000	2023/01/16 15:30:57.189	0.00000000000002777580	2023/01/16 15:30:57.439	0.00000000000004046730	2023/01/16 15:30:57.689	0.00000000000032830500	2023/01/16 15:30:57.940	0.00000000000017408000	2023/01/16 15:30:58.190	0.00000000000068958000	2023/01/16 15:30:58.440	0.00000000000174123000	2023/01/16 15:30:58.690	0.00000000000159266000	2023/01/16 15:30:58.940	0.00000000000018803300	2023/01/16 15:30:59.191	0.00000000000011338500	2023/01/16 15:30:59.942	0.00000000002397250000
2023/01/16 15:31:00.263	0.00000000011255200000	2023/01/16 15:31:03.514	0.00000000000003741430	2023/01/16 15:31:03.764	0.00000000000003291160	2023/01/16 15:31:04.014	0.00000000000034439700	2023/01/16 15:31:04.265	0.00000000000019957900	2023/01/16 15:31:04.515	0.00000000000070557600	2023/01/16 15:31:04.765	0.00000000000171134000	2023/01/16 15:31:05.015	0.00000000000165501000	2023/01/16 15:31:05.265	0.00000000000017898200	2023/01/16 15:31:05.516	0.00000000000009902900	2023/01/16 15:31:06.267	0.00000000002408000000
2023/01/16 15:31:06.588	0.00000000011231000000	2023/01/16 15:31:09.839	0.00000000000003550880	2023/01/16 15:31:10.089	0.00000000000002304850	2023/01/16 15:31:10.339	0.00000000000033719000	2023/01/16 15:31:10.590	0.00000000000019897100	2023/01/16 15:31:10.840	0.00000000000073564400	2023/01/16 15:31:11.090	0.00000000000169102000	2023/01/16 15:31:11.340	0.00000000000162701000	2023/01/16 15:31:11.590	0.00000000000018487800	2023/01/16 15:31:11.841	0.00000000000009113310	2023/01/16 15:31:12.592	0.00000000002408000000
2023/01/16 15:31:12.913	0.00000000011212700000	2023/01/16 15:31:16.164	0.00000000000002602460	2023/01/16 15:31:16.414	0.00000000000001722200	2023/01/16 15:31:16.664	0.00000000000036102800	2023/01/16 15:31:16.915	0.00000000000018784000	2023/01/16 15:31:17.165	0.00000000000070093800	2023/01/16 15:31:17.415	0.00000000000175488000	2023/01/16 15:31:17.665	0.00000000000161239000	2023/01/16 15:31:17.915	0.00000000000019066700	2023/01/16 15:31:18.166	0.00000000000010508100	2023/01/16 15:31:18.917	0.00000000002386500000
2023/01/16 15:31:19.238	0.00000000011221900000	2023/01/16 15:31:22.489	0.00000000000004509460	2023/01/16 15:31:22.739	0.00000000000003180710	2023/01/16 15:31:22.989	0.00000000000035292800	2023/01/16 15:31:23.240	0.00000000000016697900	2023/01/16 15:31:23.490	0.00000000000072906000	2023/01/16 15:31:23.740	0.00000000000175090000	2023/01/16 15:31:23.990	0.00000000000162083000	2023/01/16 15:31:24.240	0.00000000000021353800	2023/01/16 15:31:24.491	0.00000000000007643250	2023/01/16 15:31:25.242	0.00000000002413370000
2023/01/16 15:31:25.563	0.00000000011264300000	2023/01/16 15:31:28.814	0.00000000000003832210	2023/01/16 15:31:29.064	0.00000000000003557230	2023/01/16 15:31:29.314	0.00000000000033438900	2023/01/16 15:31:29.565	0.00000000000017305800	2023/01/16 15:31:29.815	0.00000000000071941100	2023/01/16 15:31:30.065	0.00000000000172591000	2023/01/16 15:31:30.315	0.00000000000161766000	2023/01/16 15:31:30.565	0.00000000000018414200	2023/01/16 15:31:30.816	0.00000000000003687570	2023/01/16 15:31:31.567	0.00000000002413370000
2023/01/16 15:31:31.888	0.00000000011238500000	2023/01/16 15:31:35.139	0.00000000000003924820	2023/01/16 15:31:35.389	0.00000000000003142810	2023/01/16 15:31:35.639	0.00000000000033111000	2023/01/16 15:31:35.890	0.00000000000017373600	2023/01/16 15:31:36.140	0.00000000000069450400	2023/01/16 15:31:36.390	0.00000000000172946000	2023/01/16 15:31:36.640	0.00000000000165485000	2023/01/16 15:31:36.890	0.00000000000018215800	2023/01/16 15:31:37.141	0.00000000000002294100	2023/01/16 15:31:37.892	0.00000000002402620000
