F1((1=on,0=off))	1
F2((1=on,0=off))	0
cage(V)	3.0
delta-m(%)	+0
electron-energy(V)	70.0
emission(uA)	1000.000
focus(V)	-90
mass(amu)	32.00
mode-change-delay()	
multiplier(V)	1200
resolution(%)	+0
Data()	
mass 2.0_time	mass 2.0_value	mass 4.0_time	mass 4.0_value	mass 5.5_time	mass 5.5_value	mass 12.0_time	mass 12.0_value	mass 15.0_time	mass 15.0_value	mass 16.0_time	mass 16.0_value	mass 18.0_time	mass 18.0_value	mass 28.0_time	mass 28.0_value	mass 32.0_time	mass 32.0_value	mass 40.0_time	mass 40.0_value	mass 44.0_time	mass 44.0_value
2022/12/12 17:28:11.780	0.00000000016866700000	2022/12/12 17:28:15.531	0.00000000000089774300	2022/12/12 17:28:15.782	0.00000000000058540200	2022/12/12 17:28:16.032	0.00000000000270389000	2022/12/12 17:28:16.282	0.00000000000944549000	2022/12/12 17:28:16.532	0.00000000001152610000	2022/12/12 17:28:16.782	0.00000000000046392700	2022/12/12 17:28:17.784	0.00000000000327875000
2022/12/12 17:28:18.105	0.00000000016707600000	2022/12/12 17:28:21.856	0.00000000000094310300	2022/12/12 17:28:22.107	0.00000000000057883400	2022/12/12 17:28:22.357	0.00000000000267417000	2022/12/12 17:28:22.607	0.00000000000924608000	2022/12/12 17:28:22.857	0.00000000001156160000	2022/12/12 17:28:23.107	0.00000000000045265500	2022/12/12 17:28:24.109	0.00000000000322500000
2022/12/12 17:28:24.430	0.00000000016458200000	2022/12/12 17:28:28.181	0.00000000000095589000	2022/12/12 17:28:28.432	0.00000000000057244800	2022/12/12 17:28:28.682	0.00000000000259102000	2022/12/12 17:28:28.932	0.00000000000918104000	2022/12/12 17:28:29.182	0.00000000001139390000	2022/12/12 17:28:29.432	0.00000000000046430800	2022/12/12 17:28:30.434	0.00000000000344000000
2022/12/12 17:28:30.755	0.00000000016376000000	2022/12/12 17:28:34.506	0.00000000000090011400	2022/12/12 17:28:34.757	0.00000000000050784100	2022/12/12 17:28:35.007	0.00000000000260375000	2022/12/12 17:28:35.257	0.00000000000900743000	2022/12/12 17:28:35.507	0.00000000001144060000	2022/12/12 17:28:35.757	0.00000000000046975900	2022/12/12 17:28:36.759	0.00000000000360125000
2022/12/12 17:28:37.080	0.00000000016210400000	2022/12/12 17:28:40.831	0.00000000000093451400	2022/12/12 17:28:41.082	0.00000000000052046100	2022/12/12 17:28:41.332	0.00000000000264788000	2022/12/12 17:28:41.582	0.00000000000883005000	2022/12/12 17:28:41.832	0.00000000001134390000	2022/12/12 17:28:42.082	0.00000000000046509300	2022/12/12 17:28:43.084	0.00000000000354750000
2022/12/12 17:28:43.405	0.00000000016045900000	2022/12/12 17:28:47.156	0.00000000000091795300	2022/12/12 17:28:47.407	0.00000000000053301700	2022/12/12 17:28:47.657	0.00000000000259558000	2022/12/12 17:28:47.907	0.00000000000873905000	2022/12/12 17:28:48.157	0.00000000001126270000	2022/12/12 17:28:48.407	0.00000000000047123100	2022/12/12 17:28:49.409	0.00000000000365500000
2022/12/12 17:28:49.730	0.00000000015892200000	2022/12/12 17:28:53.481	0.00000000000093138000	2022/12/12 17:28:53.732	0.00000000000053214100	2022/12/12 17:28:53.982	0.00000000000255060000	2022/12/12 17:28:54.232	0.00000000000884188000	2022/12/12 17:28:54.482	0.00000000001113370000	2022/12/12 17:28:54.732	0.00000000000044315800	2022/12/12 17:28:55.734	0.00000000000354750000
2022/12/12 17:28:56.055	0.00000000015712200000	2022/12/12 17:28:59.806	0.00000000000088553700	2022/12/12 17:29:00.057	0.00000000000055123300	2022/12/12 17:29:00.307	0.00000000000255301000	2022/12/12 17:29:00.557	0.00000000000859000000	2022/12/12 17:29:00.807	0.00000000001117300000	2022/12/12 17:29:01.057	0.00000000000045363400	2022/12/12 17:29:02.059	0.00000000000370875000
2022/12/12 17:29:02.380	0.00000000015527300000	2022/12/12 17:29:06.131	0.00000000000088362900	2022/12/12 17:29:06.382	0.00000000000052871700	2022/12/12 17:29:06.632	0.00000000000248712000	2022/12/12 17:29:06.882	0.00000000000856173000	2022/12/12 17:29:07.132	0.00000000001097730000	2022/12/12 17:29:07.382	0.00000000000045622400	2022/12/12 17:29:08.384	0.00000000000370875000
2022/12/12 17:29:08.705	0.00000000015400400000	2022/12/12 17:29:12.456	0.00000000000088848200	2022/12/12 17:29:12.707	0.00000000000054053700	2022/12/12 17:29:12.957	0.00000000000251888000	2022/12/12 17:29:13.207	0.00000000000839699000	2022/12/12 17:29:13.457	0.00000000001092520000	2022/12/12 17:29:13.707	0.00000000000048182000	2022/12/12 17:29:14.709	0.00000000000365500000
