COMMENT	
PARTIAL PRESSURE	1.64e-09
F1((1=on,0=off))	1
F2((1=on,0=off))	0
cage(V)	3.0
delta-m(%)	+0
electron-energy(V)	70.0
emission(uA)	1000.000
focus(V)	-90
mass(amu)	5.50
mode-change-delay()	
multiplier(V)	840
resolution(%)	+0
Data()	
input selection	Faraday
aquisition format	Standard aquisition
dwell	100 %
start mass	1.000000
end mass	100.000000
increment	0.200000
Mass	Current
8.10000038146972656000	0.00000000000004152720
8.00000000000000000000	0.00000000000002993330
7.90000009536743164000	0.00000000000000833663
7.80000019073486328000	0.00000000000001263660
7.69999980926513672000	0.00000000000000527287
7.59999990463256836000	0.00000000000003003550
7.50000000000000000000	0.00000000000000836888
7.40000009536743164000	0.00000000000003391080
7.30000019073486328000	0.00000000000001380830
7.19999980926513672000	0.00000000000002270930
7.09999990463256836000	0.00000000000000904075
7.00000000000000000000	0.00000000000000864838
6.90000009536743164000	0.00000000000000642312
6.80000019073486328000	0.00000000000002205360
6.69999980926513672000	0.00000000000001724830
6.59999990463256836000	0.00000000000000706812
6.50000000000000000000	0.00000000000002492380
6.40000009536743164000	0.00000000000002728880
6.30000019073486328000	0.00000000000001029850
6.19999980926513672000	0.00000000000001096500
6.09999990463256836000	0.00000000000001084670
6.00000000000000000000	0.00000000000001485650
5.90000009536743164000	0.00000000000001788800
5.80000019073486328000	0.00000000000001614650
5.69999980926513672000	0.00000000000002094630
5.59999990463256836000	0.00000000000000771312
5.50000000000000000000	0.00000000000001652270
5.40000009536743164000	0.00000000000001668400
5.30000019073486328000	0.00000000000002958930
5.19999980926513672000	0.00000000000001760310
5.09999990463256836000	0.00000000000001596910
5.00000000000000000000	0.00000000000001422220
4.90000009536743164000	0.00000000000000704125
4.80000019073486328000	0.00000000000002174720
4.69999980926513672000	0.00000000000002023150
4.59999990463256836000	0.00000000000001315260
4.50000000000000000000	0.00000000000001507150
4.40000009536743164000	-0.00000000000001475970
4.30000019073486328000	0.00000000000001356650
4.19999980926513672000	0.00000000000000933100
4.09999990463256836000	0.00000000000002420900
4.00000000000000000000	0.00000000000001751710
3.90000009536743164000	0.00000000000001476510
3.79999995231628418000	0.00000000000001979610
3.70000004768371582000	-0.00000000000000454187
3.59999990463256836000	0.00000000000003180920
3.50000000000000000000	0.00000000000001120150
3.40000009536743164000	0.00000000000003503420
3.29999995231628418000	0.00000000000000467625
3.20000004768371582000	0.00000000000001738810
3.09999990463256836000	0.00000000000001401800
3.00000000000000000000	0.00000000000002248900
2.90000009536743164000	0.00000000000000877200
2.79999995231628418000	0.00000000000002374130
2.70000004768371582000	0.00000000000000140287
2.59999990463256836000	0.00000000000002377900
2.50000000000000000000	0.00000000000004769770
2.40000009536743164000	0.00000000000014205000
2.29999995231628418000	0.00000000000015989000
2.20000004768371582000	0.00000000000021755800
2.09999990463256836000	0.00000000000018846300
2.00000000000000000000	0.00000000000028205799
1.89999997615814209000	0.00000000000023884299
1.79999995231628418000	0.00000000000017466600
1.70000004768371582000	0.00000000000014862401
1.60000002384185791000	0.00000000000008842950
1.50000000000000000000	0.00000000000010108700
1.39999997615814209000	0.00000000000013911000
1.29999995231628418000	0.00000000000017612801
1.20000004768371582000	0.00000000000022162200
1.10000002384185791000	0.00000000000015792801
1.00000000000000000000	0.00000000000016306100
