F1((1=on,0=off))	1
F2((1=on,0=off))	0
cage(V)	3.0
delta-m(%)	+0
electron-energy(V)	70.0
emission(uA)	1000.000
focus(V)	-90
mass(amu)	32.00
mode-change-delay()	
multiplier(V)	1200
resolution(%)	+0
Data()	
mass 2.0_time	mass 2.0_value	mass 4.0_time	mass 4.0_value	mass 5.5_time	mass 5.5_value	mass 12.0_time	mass 12.0_value	mass 15.0_time	mass 15.0_value	mass 16.0_time	mass 16.0_value	mass 18.0_time	mass 18.0_value	mass 28.0_time	mass 28.0_value	mass 32.0_time	mass 32.0_value	mass 40.0_time	mass 40.0_value	mass 44.0_time	mass 44.0_value
2022/12/12 16:33:14.624	0.00000000002212940000	2022/12/12 16:33:14.874	0.00000000000101996000	2022/12/12 16:33:15.375	0.00000000000049718200	2022/12/12 16:33:15.625	0.00000000000018946800	2022/12/12 16:33:15.875	0.00000000000133079000	2022/12/12 16:33:16.125	0.00000000000354578000	2022/12/12 16:33:16.375	0.00000000000393794000	2022/12/12 16:33:16.626	0.00000000000018974200	2022/12/12 16:33:17.627	0.00000000000145125000
2022/12/12 16:33:20.949	0.00000000002245730000	2022/12/12 16:33:21.199	0.00000000000102162000	2022/12/12 16:33:21.700	0.00000000000049192000	2022/12/12 16:33:21.950	0.00000000000021094100	2022/12/12 16:33:22.200	0.00000000000129145000	2022/12/12 16:33:22.450	0.00000000000358453000	2022/12/12 16:33:22.700	0.00000000000387623000	2022/12/12 16:33:22.951	0.00000000000022547000	2022/12/12 16:33:23.952	0.00000000000145125000
2022/12/12 16:33:27.274	0.00000000002235780000	2022/12/12 16:33:27.524	0.00000000000103173000	2022/12/12 16:33:27.774	0.00000000000000424248	2022/12/12 16:33:28.025	0.00000000000049817600	2022/12/12 16:33:28.275	0.00000000000018800100	2022/12/12 16:33:28.525	0.00000000000130795000	2022/12/12 16:33:28.775	0.00000000000356480000	2022/12/12 16:33:29.025	0.00000000000389752000	2022/12/12 16:33:29.276	0.00000000000022671700	2022/12/12 16:33:30.277	0.00000000000182750000
2022/12/12 16:33:33.599	0.00000000002233360000	2022/12/12 16:33:33.849	0.00000000000103818000	2022/12/12 16:33:34.350	0.00000000000047243000	2022/12/12 16:33:34.600	0.00000000000021382800	2022/12/12 16:33:34.850	0.00000000000133681000	2022/12/12 16:33:35.100	0.00000000000358415000	2022/12/12 16:33:35.350	0.00000000000389343000	2022/12/12 16:33:35.601	0.00000000000019898200	2022/12/12 16:33:36.602	0.00000000000177375000
2022/12/12 16:33:39.924	0.00000000002259750000	2022/12/12 16:33:40.174	0.00000000000103807000	2022/12/12 16:33:40.675	0.00000000000050771200	2022/12/12 16:33:40.925	0.00000000000022730800	2022/12/12 16:33:41.175	0.00000000000134224000	2022/12/12 16:33:41.425	0.00000000000346977000	2022/12/12 16:33:41.675	0.00000000000393654000	2022/12/12 16:33:41.926	0.00000000000021749900	2022/12/12 16:33:42.927	0.00000000000172000000
2022/12/12 16:33:46.249	0.00000000002275130000	2022/12/12 16:33:46.499	0.00000000000103608000	2022/12/12 16:33:46.749	0.00000000000000557334	2022/12/12 16:33:47.000	0.00000000000044521100	2022/12/12 16:33:47.250	0.00000000000020028800	2022/12/12 16:33:47.500	0.00000000000131580000	2022/12/12 16:33:47.750	0.00000000000367972000	2022/12/12 16:33:48.000	0.00000000000394998000	2022/12/12 16:33:48.251	0.00000000000019633800	2022/12/12 16:33:49.252	0.00000000000150500000
2022/12/12 16:33:52.574	0.00000000002271420000	2022/12/12 16:33:52.824	0.00000000000103818000	2022/12/12 16:33:53.325	0.00000000000046957600	2022/12/12 16:33:53.575	0.00000000000017958400	2022/12/12 16:33:53.825	0.00000000000128500000	2022/12/12 16:33:54.075	0.00000000000365252000	2022/12/12 16:33:54.325	0.00000000000405586000	2022/12/12 16:33:54.576	0.00000000000021827800	2022/12/12 16:33:54.826	0.00000000000000306536	2022/12/12 16:33:55.577	0.00000000000166625000
2022/12/12 16:33:58.899	0.00000000002291570000	2022/12/12 16:33:59.149	0.00000000000106301000	2022/12/12 16:33:59.650	0.00000000000048527600	2022/12/12 16:33:59.900	0.00000000000020723800	2022/12/12 16:34:00.150	0.00000000000138578000	2022/12/12 16:34:00.400	0.00000000000360942000	2022/12/12 16:34:00.650	0.00000000000401206000	2022/12/12 16:34:00.901	0.00000000000018245900	2022/12/12 16:34:01.902	0.00000000000161250000
2022/12/12 16:34:05.224	0.00000000002284000000	2022/12/12 16:34:05.474	0.00000000000103436000	2022/12/12 16:34:05.724	0.00000000000000095406	2022/12/12 16:34:05.975	0.00000000000045513300	2022/12/12 16:34:06.225	0.00000000000022984000	2022/12/12 16:34:06.475	0.00000000000135396000	2022/12/12 16:34:06.725	0.00000000000354927000	2022/12/12 16:34:06.975	0.00000000000395524000	2022/12/12 16:34:07.226	0.00000000000020965700	2022/12/12 16:34:07.476	0.00000000000000065898	2022/12/12 16:34:08.227	0.00000000000150500000
2022/12/12 16:34:11.549	0.00000000002307970000	2022/12/12 16:34:11.799	0.00000000000107371000	2022/12/12 16:34:12.300	0.00000000000047358000	2022/12/12 16:34:12.550	0.00000000000020895800	2022/12/12 16:34:12.800	0.00000000000143039000	2022/12/12 16:34:13.050	0.00000000000366854000	2022/12/12 16:34:13.300	0.00000000000405398000	2022/12/12 16:34:13.551	0.00000000000022733500	2022/12/12 16:34:14.552	0.00000000000134375000
2022/12/12 16:34:17.874	0.00000000002305600000	2022/12/12 16:34:18.124	0.00000000000107070000	2022/12/12 16:34:18.625	0.00000000000049525200	2022/12/12 16:34:18.875	0.00000000000020319100	2022/12/12 16:34:19.125	0.00000000000139067000	2022/12/12 16:34:19.375	0.00000000000368289000	2022/12/12 16:34:19.625	0.00000000000405957000	2022/12/12 16:34:19.876	0.00000000000022635200	2022/12/12 16:34:20.877	0.00000000000145125000
2022/12/12 16:34:24.199	0.00000000002306140000	2022/12/12 16:34:24.449	0.00000000000108628000	2022/12/12 16:34:24.950	0.00000000000048247100	2022/12/12 16:34:25.200	0.00000000000020966800	2022/12/12 16:34:25.450	0.00000000000131617000	2022/12/12 16:34:25.700	0.00000000000361812000	2022/12/12 16:34:25.950	0.00000000000404759000	2022/12/12 16:34:26.201	0.00000000000018889900	2022/12/12 16:34:27.202	0.00000000000161250000
2022/12/12 16:34:30.524	0.00000000002323610000	2022/12/12 16:34:30.774	0.00000000000105731000	2022/12/12 16:34:31.275	0.00000000000051561300	2022/12/12 16:34:31.525	0.00000000000021095200	2022/12/12 16:34:31.775	0.00000000000135218000	2022/12/12 16:34:32.025	0.00000000000370955000	2022/12/12 16:34:32.275	0.00000000000403281000	2022/12/12 16:34:32.526	0.00000000000021066200	2022/12/12 16:34:33.527	0.00000000000150500000
2022/12/12 16:34:36.849	0.00000000002330110000	2022/12/12 16:34:37.099	0.00000000000107000000	2022/12/12 16:34:37.600	0.00000000000050398100	2022/12/12 16:34:37.850	0.00000000000020490500	2022/12/12 16:34:38.100	0.00000000000135842000	2022/12/12 16:34:38.350	0.00000000000378255000	2022/12/12 16:34:38.600	0.00000000000408296000	2022/12/12 16:34:38.851	0.00000000000021945600	2022/12/12 16:34:39.852	0.00000000000155875000
2022/12/12 16:34:43.174	0.00000000002331730000	2022/12/12 16:34:43.424	0.00000000000105022000	2022/12/12 16:34:43.675	0.00000000000000196778	2022/12/12 16:34:43.925	0.00000000000049799900	2022/12/12 16:34:44.175	0.00000000000021854200	2022/12/12 16:34:44.425	0.00000000000136922000	2022/12/12 16:34:44.675	0.00000000000370805000	2022/12/12 16:34:44.925	0.00000000000405764000	2022/12/12 16:34:45.176	0.00000000000018509800	2022/12/12 16:34:45.426	0.00000000000000639571	2022/12/12 16:34:46.177	0.00000000000150500000
2022/12/12 16:34:49.499	0.00000000002354250000	2022/12/12 16:34:49.749	0.00000000000107102000	2022/12/12 16:34:50.000	0.00000000000000548626	2022/12/12 16:34:50.250	0.00000000000047424700	2022/12/12 16:34:50.500	0.00000000000018694200	2022/12/12 16:34:50.750	0.00000000000134364000	2022/12/12 16:34:51.000	0.00000000000376110000	2022/12/12 16:34:51.250	0.00000000000407290000	2022/12/12 16:34:51.501	0.00000000000020259900	2022/12/12 16:34:52.502	0.00000000000150500000
2022/12/12 16:34:55.824	0.00000000002355320000	2022/12/12 16:34:56.074	0.00000000000107801000	2022/12/12 16:34:56.575	0.00000000000049786500	2022/12/12 16:34:56.825	0.00000000000020832900	2022/12/12 16:34:57.075	0.00000000000137164000	2022/12/12 16:34:57.325	0.00000000000375933000	2022/12/12 16:34:57.575	0.00000000000409080000	2022/12/12 16:34:57.826	0.00000000000017196200	2022/12/12 16:34:58.076	0.00000000000000394310	2022/12/12 16:34:58.827	0.00000000000188125000
2022/12/12 16:35:02.149	0.00000000002352900000	2022/12/12 16:35:02.399	0.00000000000108940000	2022/12/12 16:35:02.900	0.00000000000046228700	2022/12/12 16:35:03.150	0.00000000000023202200	2022/12/12 16:35:03.400	0.00000000000135976000	2022/12/12 16:35:03.650	0.00000000000378443000	2022/12/12 16:35:03.900	0.00000000000416777000	2022/12/12 16:35:04.151	0.00000000000020691600	2022/12/12 16:35:05.152	0.00000000000150500000
2022/12/12 16:35:08.474	0.00000000002347040000	2022/12/12 16:35:08.724	0.00000000000107537000	2022/12/12 16:35:09.225	0.00000000000048706100	2022/12/12 16:35:09.475	0.00000000000020134200	2022/12/12 16:35:09.725	0.00000000000135579000	2022/12/12 16:35:09.975	0.00000000000375809000	2022/12/12 16:35:10.225	0.00000000000406850000	2022/12/12 16:35:10.476	0.00000000000021401600	2022/12/12 16:35:10.726	0.00000000000000324811	2022/12/12 16:35:11.477	0.00000000000188125000
2022/12/12 16:35:14.799	0.00000000002371880000	2022/12/12 16:35:15.049	0.00000000000106946000	2022/12/12 16:35:15.550	0.00000000000047251100	2022/12/12 16:35:15.800	0.00000000000021266200	2022/12/12 16:35:16.050	0.00000000000137293000	2022/12/12 16:35:16.300	0.00000000000373600000	2022/12/12 16:35:16.550	0.00000000000415240000	2022/12/12 16:35:16.801	0.00000000000018762500	2022/12/12 16:35:17.802	0.00000000000193500000
2022/12/12 16:35:21.124	0.00000000002362900000	2022/12/12 16:35:21.374	0.00000000000107892000	2022/12/12 16:35:21.875	0.00000000000049686500	2022/12/12 16:35:22.125	0.00000000000020204000	2022/12/12 16:35:22.375	0.00000000000136535000	2022/12/12 16:35:22.625	0.00000000000376578000	2022/12/12 16:35:22.875	0.00000000000414686000	2022/12/12 16:35:23.126	0.00000000000020394300	2022/12/12 16:35:23.376	0.00000000000000580607	2022/12/12 16:35:24.127	0.00000000000204250000
