F1((1=on,0=off))	1
F2((1=on,0=off))	0
cage(V)	3.0
delta-m(%)	+0
electron-energy(V)	70.0
emission(uA)	1000.000
focus(V)	-90
mass(amu)	6.40
mode-change-delay()	
multiplier(V)	1200
resolution(%)	+0
Data()	
mass 2.0_time	mass 2.0_value	mass 4.0_time	mass 4.0_value	mass 12.0_time	mass 12.0_value	mass 16.0_time	mass 16.0_value	mass 18.0_time	mass 18.0_value	mass 28.0_time	mass 28.0_value	mass 32.0_time	mass 32.0_value	mass 40.0_time	mass 40.0_value	mass 44.0_time	mass 44.0_value
2022/11/14 15:35:20.278	0.00000000002054160000	2022/11/14 15:35:20.528	0.00000000000099399900	2022/11/14 15:35:20.778	0.00000000000026378900	2022/11/14 15:35:21.028	0.00000000000050569100	2022/11/14 15:35:21.278	0.00000000000107365000	2022/11/14 15:35:21.529	0.00000000000162577000	2022/11/14 15:35:22.279	0.00000000000076916200
2022/11/14 15:35:22.600	0.00000000002045830000	2022/11/14 15:35:22.850	0.00000000000095180500	2022/11/14 15:35:23.101	0.00000000000025191500	2022/11/14 15:35:23.351	0.00000000000052649200	2022/11/14 15:35:23.601	0.00000000000112262000	2022/11/14 15:35:23.851	0.00000000000162061000	2022/11/14 15:35:24.602	0.00000000000074866200
2022/11/14 15:35:24.923	0.00000000002045990000	2022/11/14 15:35:25.173	0.00000000000097266000	2022/11/14 15:35:25.423	0.00000000000027886000	2022/11/14 15:35:25.673	0.00000000000051743500	2022/11/14 15:35:25.923	0.00000000000106580000	2022/11/14 15:35:26.174	0.00000000000164781000	2022/11/14 15:35:26.924	0.00000000000072279800
2022/11/14 15:35:27.245	0.00000000002060560000	2022/11/14 15:35:27.495	0.00000000000098480800	2022/11/14 15:35:27.746	0.00000000000023871400	2022/11/14 15:35:27.996	0.00000000000053556500	2022/11/14 15:35:28.246	0.00000000000106726000	2022/11/14 15:35:28.496	0.00000000000161610000	2022/11/14 15:35:29.247	0.00000000000073842800
2022/11/14 15:35:29.568	0.00000000002051260000	2022/11/14 15:35:29.818	0.00000000000098491500	2022/11/14 15:35:30.068	0.00000000000028512700	2022/11/14 15:35:30.318	0.00000000000052457300	2022/11/14 15:35:30.568	0.00000000000108886000	2022/11/14 15:35:30.819	0.00000000000163878000	2022/11/14 15:35:31.569	0.00000000000075597200
2022/11/14 15:35:31.890	0.00000000002050130000	2022/11/14 15:35:32.140	0.00000000000097771300	2022/11/14 15:35:32.391	0.00000000000024414300	2022/11/14 15:35:32.641	0.00000000000050399200	2022/11/14 15:35:32.891	0.00000000000109601000	2022/11/14 15:35:33.141	0.00000000000164297000	2022/11/14 15:35:33.892	0.00000000000075473600
2022/11/14 15:35:34.213	0.00000000002055400000	2022/11/14 15:35:34.463	0.00000000000099571900	2022/11/14 15:35:34.713	0.00000000000026623400	2022/11/14 15:35:34.963	0.00000000000051584400	2022/11/14 15:35:35.213	0.00000000000108075000	2022/11/14 15:35:35.464	0.00000000000166264000	2022/11/14 15:35:36.214	0.00000000000075211300
2022/11/14 15:35:36.535	0.00000000002064910000	2022/11/14 15:35:36.785	0.00000000000099840600	2022/11/14 15:35:37.036	0.00000000000025854300	2022/11/14 15:35:37.286	0.00000000000053058200	2022/11/14 15:35:37.536	0.00000000000107870000	2022/11/14 15:35:37.786	0.00000000000159379000	2022/11/14 15:35:38.537	0.00000000000075923500
2022/11/14 15:35:38.858	0.00000000002052280000	2022/11/14 15:35:39.108	0.00000000000097927100	2022/11/14 15:35:39.358	0.00000000000025903700	2022/11/14 15:35:39.608	0.00000000000051183400	2022/11/14 15:35:39.858	0.00000000000109370000	2022/11/14 15:35:40.109	0.00000000000162158000	2022/11/14 15:35:40.859	0.00000000000075072600
2022/11/14 15:35:41.180	0.00000000002080120000	2022/11/14 15:35:41.430	0.00000000000099598800	2022/11/14 15:35:41.681	0.00000000000026441200	2022/11/14 15:35:41.931	0.00000000000051726300	2022/11/14 15:35:42.181	0.00000000000108929000	2022/11/14 15:35:42.431	0.00000000000161857000	2022/11/14 15:35:43.182	0.00000000000076017500
