F1((1=on,0=off))	1
F2((1=on,0=off))	0
cage(V)	3.0
delta-m(%)	+0
electron-energy(V)	70.0
emission(uA)	1000.000
focus(V)	-90
mass(amu)	2.00
mode-change-delay()	
multiplier(V)	1200
resolution(%)	+0
Data()	
mass 2.0_time	mass 2.0_value	mass 4.0_time	mass 4.0_value	mass 5.5_time	mass 5.5_value	mass 12.0_time	mass 12.0_value	mass 15.0_time	mass 15.0_value	mass 16.0_time	mass 16.0_value	mass 18.0_time	mass 18.0_value	mass 28.0_time	mass 28.0_value	mass 32.0_time	mass 32.0_value	mass 40.0_time	mass 40.0_value	mass 44.0_time	mass 44.0_value
2023/01/12 17:15:21.967	0.00000000009007430000	2023/01/12 17:15:25.218	0.00000000000003645210	2023/01/12 17:15:25.468	0.00000000000013277300	2023/01/12 17:15:25.718	0.00000000000031499600	2023/01/12 17:15:25.969	0.00000000000017664400	2023/01/12 17:15:26.219	0.00000000000058361700	2023/01/12 17:15:26.469	0.00000000000127355000	2023/01/12 17:15:26.719	0.00000000000200062000	2023/01/12 17:15:26.969	0.00000000000018816800	2023/01/12 17:15:27.220	0.00000000000008864990	2023/01/12 17:15:27.971	0.00000000002477870000
2023/01/12 17:15:28.292	0.00000000009006350000	2023/01/12 17:15:31.543	0.00000000000003213550	2023/01/12 17:15:31.793	0.00000000000010111900	2023/01/12 17:15:32.043	0.00000000000034508500	2023/01/12 17:15:32.294	0.00000000000017078500	2023/01/12 17:15:32.544	0.00000000000058437000	2023/01/12 17:15:32.794	0.00000000000132440000	2023/01/12 17:15:33.044	0.00000000000196203000	2023/01/12 17:15:33.294	0.00000000000020340600	2023/01/12 17:15:33.545	0.00000000000002595580	2023/01/12 17:15:34.296	0.00000000002467120000
2023/01/12 17:15:34.617	0.00000000009000980000	2023/01/12 17:15:37.868	0.00000000000002704540	2023/01/12 17:15:38.118	0.00000000000011400300	2023/01/12 17:15:38.368	0.00000000000030571400	2023/01/12 17:15:38.619	0.00000000000018223900	2023/01/12 17:15:38.869	0.00000000000061849600	2023/01/12 17:15:39.119	0.00000000000129043000	2023/01/12 17:15:39.369	0.00000000000199036000	2023/01/12 17:15:39.619	0.00000000000020025100	2023/01/12 17:15:39.870	0.00000000000001754450	2023/01/12 17:15:40.621	0.00000000002461750000
2023/01/12 17:15:40.942	0.00000000008995060000	2023/01/12 17:15:44.193	0.00000000000002466800	2023/01/12 17:15:44.443	0.00000000000013054800	2023/01/12 17:15:44.693	0.00000000000029549600	2023/01/12 17:15:44.944	0.00000000000017846600	2023/01/12 17:15:45.194	0.00000000000060908400	2023/01/12 17:15:45.444	0.00000000000129349000	2023/01/12 17:15:45.694	0.00000000000192624000	2023/01/12 17:15:45.944	0.00000000000019205900	2023/01/12 17:15:46.195	0.00000000000002643800	2023/01/12 17:15:46.946	0.00000000002451000000
2023/01/12 17:15:50.268	0.00000000005775380000	2023/01/12 17:15:50.518	0.00000000000009661030	2023/01/12 17:15:50.769	0.00000000000013143400	2023/01/12 17:15:51.019	0.00000000000029847900	2023/01/12 17:15:51.269	0.00000000000018866200	2023/01/12 17:15:51.519	0.00000000000060002200	2023/01/12 17:15:51.769	0.00000000000130365000	2023/01/12 17:15:52.019	0.00000000000193064000	2023/01/12 17:15:52.270	0.00000000000020355100	2023/01/12 17:15:52.520	0.00000000000002569570	2023/01/12 17:15:53.272	0.00000000002451000000
2023/01/12 17:15:56.594	0.00000000005860410000	2023/01/12 17:15:56.844	0.00000000000009760890	2023/01/12 17:15:57.094	0.00000000000012694600	2023/01/12 17:15:57.344	0.00000000000033574400	2023/01/12 17:15:57.594	0.00000000000017583700	2023/01/12 17:15:57.844	0.00000000000061233100	2023/01/12 17:15:58.095	0.00000000000128983000	2023/01/12 17:15:58.345	0.00000000000196515000	2023/01/12 17:15:58.596	0.00000000000021204900	2023/01/12 17:15:58.846	0.00000000000002940980	2023/01/12 17:15:59.597	0.00000000002440250000
2023/01/12 17:16:02.919	0.00000000005897770000	2023/01/12 17:16:03.169	0.00000000000009596690	2023/01/12 17:16:03.419	0.00000000000014146400	2023/01/12 17:16:03.669	0.00000000000032797100	2023/01/12 17:16:03.919	0.00000000000019091400	2023/01/12 17:16:04.170	0.00000000000062775100	2023/01/12 17:16:04.420	0.00000000000133192000	2023/01/12 17:16:04.670	0.00000000000197413000	2023/01/12 17:16:04.921	0.00000000000020128300	2023/01/12 17:16:05.171	0.00000000000002022610	2023/01/12 17:16:05.922	0.00000000002408000000
2023/01/12 17:16:09.244	0.00000000005943460000	2023/01/12 17:16:09.494	0.00000000000008143720	2023/01/12 17:16:09.744	0.00000000000013914200	2023/01/12 17:16:09.994	0.00000000000033659300	2023/01/12 17:16:10.244	0.00000000000018376500	2023/01/12 17:16:10.495	0.00000000000060630500	2023/01/12 17:16:10.745	0.00000000000133068000	2023/01/12 17:16:10.995	0.00000000000203884000	2023/01/12 17:16:11.246	0.00000000000021209200	2023/01/12 17:16:11.496	0.00000000000002543390	2023/01/12 17:16:12.247	0.00000000002402620000
2023/01/12 17:16:15.569	0.00000000005967000000	2023/01/12 17:16:15.819	0.00000000000009710640	2023/01/12 17:16:16.069	0.00000000000015373500	2023/01/12 17:16:16.319	0.00000000000032494000	2023/01/12 17:16:16.569	0.00000000000018820500	2023/01/12 17:16:16.820	0.00000000000062160200	2023/01/12 17:16:17.070	0.00000000000133773000	2023/01/12 17:16:17.320	0.00000000000203513000	2023/01/12 17:16:17.571	0.00000000000018822700	2023/01/12 17:16:17.821	0.00000000000003319600	2023/01/12 17:16:18.572	0.00000000002418750000
2023/01/12 17:16:21.894	0.00000000006015590000	2023/01/12 17:16:22.144	0.00000000000009860710	2023/01/12 17:16:22.394	0.00000000000013424600	2023/01/12 17:16:22.644	0.00000000000029887700	2023/01/12 17:16:22.894	0.00000000000018328200	2023/01/12 17:16:23.144	0.00000000000064376400	2023/01/12 17:16:23.395	0.00000000000128478000	2023/01/12 17:16:23.645	0.00000000000206185000	2023/01/12 17:16:23.896	0.00000000000020515800	2023/01/12 17:16:24.146	0.00000000000003757980	2023/01/12 17:16:24.897	0.00000000002424120000
