F1((1=on,0=off))	1
F2((1=on,0=off))	0
cage(V)	3.0
delta-m(%)	+0
electron-energy(V)	70.0
emission(uA)	1000.000
focus(V)	-90
mass(amu)	18.00
mode-change-delay()	
multiplier(V)	810
resolution(%)	+0
Data()	
mass 2.0_time	mass 2.0_value	mass 4.0_time	mass 4.0_value	mass 12.0_time	mass 12.0_value	mass 15.0_time	mass 15.0_value	mass 16.0_time	mass 16.0_value	mass 18.0_time	mass 18.0_value	mass 28.0_time	mass 28.0_value	mass 32.0_time	mass 32.0_value	mass 40.0_time	mass 40.0_value	mass 44.0_time	mass 44.0_value
2023/05/08 16:42:18.495	0.00000000000110682000	2023/05/08 16:42:18.695	0.00000000000003664350	2023/05/08 16:42:18.895	0.00000000000001999820	2023/05/08 16:42:19.095	0.00000000000005321140	2023/05/08 16:42:19.295	0.00000000000006378510	2023/05/08 16:42:19.495	0.00000000000017180600	2023/05/08 16:42:20.197	0.00000000000032250000	2023/05/08 16:42:20.397	0.00000000000032250000	2023/05/08 16:42:20.597	0.00000000000000000000	2023/05/08 16:42:20.798	0.00000000000010750000
2023/05/08 16:42:24.070	0.00000000000110606000	2023/05/08 16:42:24.270	0.00000000000004561870	2023/05/08 16:42:24.470	0.00000000000007225720	2023/05/08 16:42:24.670	0.00000000000004682700	2023/05/08 16:42:24.870	0.00000000000003484720	2023/05/08 16:42:25.071	0.00000000000014724200	2023/05/08 16:42:25.772	0.00000000000010750000	2023/05/08 16:42:25.972	0.00000000000000000000	2023/05/08 16:42:26.172	0.00000000000000000000	2023/05/08 16:42:26.373	0.00000000000010750000
2023/05/08 16:42:29.645	0.00000000000110252000	2023/05/08 16:42:29.845	0.00000000000004017060	2023/05/08 16:42:30.045	0.00000000000003076540	2023/05/08 16:42:30.245	0.00000000000001990570	2023/05/08 16:42:30.445	0.00000000000006036770	2023/05/08 16:42:30.645	0.00000000000016328100	2023/05/08 16:42:31.347	0.00000000000043000000	2023/05/08 16:42:31.547	0.00000000000064500000	2023/05/08 16:42:31.747	0.00000000000064500000	2023/05/08 16:42:31.948	0.00000000000075250000
2023/05/08 16:42:35.220	0.00000000000112606000	2023/05/08 16:42:35.420	0.00000000000004838470	2023/05/08 16:42:35.620	0.00000000000003874730	2023/05/08 16:42:35.820	0.00000000000002531190	2023/05/08 16:42:36.020	0.00000000000006198230	2023/05/08 16:42:36.221	0.00000000000019803600	2023/05/08 16:42:36.922	0.00000000000064500000	2023/05/08 16:42:37.122	0.00000000000010750000	2023/05/08 16:42:37.322	0.00000000000021500000	2023/05/08 16:42:37.523	0.00000000000021500000
2023/05/08 16:42:40.795	0.00000000000109886000	2023/05/08 16:42:40.995	0.00000000000006600930	2023/05/08 16:42:41.195	0.00000000000007067370	2023/05/08 16:42:41.395	0.00000000000003351520	2023/05/08 16:42:41.595	0.00000000000001655500	2023/05/08 16:42:41.796	0.00000000000020595900	2023/05/08 16:42:42.497	0.00000000000021500000	2023/05/08 16:42:42.697	0.00000000000021500000	2023/05/08 16:42:42.897	0.00000000000021500000	2023/05/08 16:42:43.098	0.00000000000000000000
2023/05/08 16:42:46.370	0.00000000000113283000	2023/05/08 16:42:46.570	0.00000000000004138420	2023/05/08 16:42:46.770	0.00000000000002668040	2023/05/08 16:42:46.970	0.00000000000005319100	2023/05/08 16:42:47.170	0.00000000000005404350	2023/05/08 16:42:47.371	0.00000000000022197600	2023/05/08 16:42:48.072	0.00000000000021500000	2023/05/08 16:42:48.272	0.00000000000032250000	2023/05/08 16:42:48.472	0.00000000000000000000	2023/05/08 16:42:48.673	0.00000000000000000000
2023/05/08 16:42:51.945	0.00000000000115680000	2023/05/08 16:42:52.145	0.00000000000005406070	2023/05/08 16:42:52.345	0.00000000000004048020	2023/05/08 16:42:52.545	0.00000000000003684340	2023/05/08 16:42:52.745	0.00000000000005602150	2023/05/08 16:42:52.945	0.00000000000016727000	2023/05/08 16:42:53.647	0.00000000000043000000	2023/05/08 16:42:53.847	0.00000000000032250000	2023/05/08 16:42:54.047	0.00000000000000000000	2023/05/08 16:42:54.248	0.00000000000000000000
2023/05/08 16:42:57.520	0.00000000000114025000	2023/05/08 16:42:57.720	0.00000000000004732690	2023/05/08 16:42:57.920	0.00000000000005655360	2023/05/08 16:42:58.120	0.00000000000004033500	2023/05/08 16:42:58.320	0.00000000000003862370	2023/05/08 16:42:58.521	0.00000000000017618100	2023/05/08 16:42:59.222	0.00000000000010750000	2023/05/08 16:42:59.422	0.00000000000010750000	2023/05/08 16:42:59.622	0.00000000000021500000	2023/05/08 16:42:59.823	0.00000000000010750000
2023/05/08 16:43:03.095	0.00000000000113434000	2023/05/08 16:43:03.295	0.00000000000004847070	2023/05/08 16:43:03.495	0.00000000000004924470	2023/05/08 16:43:03.695	0.00000000000003268530	2023/05/08 16:43:03.895	0.00000000000004852440	2023/05/08 16:43:04.096	0.00000000000018715700	2023/05/08 16:43:04.797	0.00000000000021500000	2023/05/08 16:43:04.997	0.00000000000010750000	2023/05/08 16:43:05.197	0.00000000000000000000	2023/05/08 16:43:05.398	0.00000000000032250000
2023/05/08 16:43:08.670	0.00000000000112477000	2023/05/08 16:43:08.870	0.00000000000005793280	2023/05/08 16:43:09.070	0.00000000000003953740	2023/05/08 16:43:09.270	0.00000000000002001000	2023/05/08 16:43:09.470	0.00000000000003181030	2023/05/08 16:43:09.671	0.00000000000019666000	2023/05/08 16:43:10.372	0.00000000000043000000	2023/05/08 16:43:10.572	0.00000000000032250000	2023/05/08 16:43:10.772	0.00000000000021500000	2023/05/08 16:43:10.973	0.00000000000021500000
2023/05/08 16:43:14.245	0.00000000000110671000	2023/05/08 16:43:14.445	0.00000000000004425670	2023/05/08 16:43:14.645	0.00000000000002428420	2023/05/08 16:43:14.845	0.00000000000003807540	2023/05/08 16:43:15.045	0.00000000000008794040	2023/05/08 16:43:15.246	0.00000000000017238700	2023/05/08 16:43:15.947	0.00000000000032250000	2023/05/08 16:43:16.147	0.00000000000043000000	2023/05/08 16:43:16.347	0.00000000000010750000	2023/05/08 16:43:16.548	0.00000000000010750000
2023/05/08 16:43:19.820	0.00000000000114347000	2023/05/08 16:43:20.020	0.00000000000004357190	2023/05/08 16:43:20.220	0.00000000000003424300	2023/05/08 16:43:20.420	0.00000000000005228690	2023/05/08 16:43:20.620	0.00000000000006476980	2023/05/08 16:43:20.820	0.00000000000020534600	2023/05/08 16:43:21.522	0.00000000000000000000	2023/05/08 16:43:21.722	0.00000000000021500000	2023/05/08 16:43:21.922	0.00000000000032250000	2023/05/08 16:43:22.123	0.00000000000021500000
2023/05/08 16:43:25.395	0.00000000000113509000	2023/05/08 16:43:25.595	0.00000000000004304840	2023/05/08 16:43:25.795	0.00000000000005056690	2023/05/08 16:43:25.995	0.00000000000005160110	2023/05/08 16:43:26.195	0.00000000000004453190	2023/05/08 16:43:26.396	0.00000000000019047900	2023/05/08 16:43:27.097	0.00000000000010750000	2023/05/08 16:43:27.698	0.00000000000000000000
2023/05/08 16:43:30.970	0.00000000000113487000	2023/05/08 16:43:31.170	0.00000000000005271050	2023/05/08 16:43:31.370	0.00000000000003129110	2023/05/08 16:43:31.570	0.00000000000002495500	2023/05/08 16:43:31.770	0.00000000000007134770	2023/05/08 16:43:31.970	0.00000000000016128200	2023/05/08 16:43:32.672	0.00000000000043000000	2023/05/08 16:43:32.872	0.00000000000010750000	2023/05/08 16:43:33.072	0.00000000000032250000	2023/05/08 16:43:33.273	0.00000000000043000000
2023/05/08 16:43:36.545	0.00000000000116454000	2023/05/08 16:43:36.745	0.00000000000006017420	2023/05/08 16:43:36.945	0.00000000000003759060	2023/05/08 16:43:37.145	0.00000000000004233130	2023/05/08 16:43:37.345	0.00000000000007164770	2023/05/08 16:43:37.546	0.00000000000018935000	2023/05/08 16:43:38.247	0.00000000000032250000	2023/05/08 16:43:38.447	0.00000000000021500000	2023/05/08 16:43:38.647	0.00000000000032250000	2023/05/08 16:43:38.848	0.00000000000021500000
2023/05/08 16:43:42.120	0.00000000000114132000	2023/05/08 16:43:42.320	0.00000000000005299210	2023/05/08 16:43:42.520	0.00000000000004052210	2023/05/08 16:43:42.720	0.00000000000005132480	2023/05/08 16:43:42.920	0.00000000000003761960	2023/05/08 16:43:43.120	0.00000000000020337900	2023/05/08 16:43:43.822	0.00000000000000000000	2023/05/08 16:43:44.022	0.00000000000000000000	2023/05/08 16:43:44.222	0.00000000000010750000	2023/05/08 16:43:44.423	0.00000000000000000000
2023/05/08 16:43:47.695	0.00000000000116616000	2023/05/08 16:43:47.895	0.00000000000004603260	2023/05/08 16:43:48.095	0.00000000000002426490	2023/05/08 16:43:48.295	0.00000000000005233740	2023/05/08 16:43:48.495	0.00000000000003813340	2023/05/08 16:43:48.696	0.00000000000017628900	2023/05/08 16:43:49.397	0.00000000000021500000	2023/05/08 16:43:49.597	0.00000000000010750000	2023/05/08 16:43:49.797	0.00000000000032250000	2023/05/08 16:43:49.998	0.00000000000010750000
2023/05/08 16:43:53.270	0.00000000000109693000	2023/05/08 16:43:53.470	0.00000000000007081990	2023/05/08 16:43:53.670	0.00000000000004037050	2023/05/08 16:43:53.870	0.00000000000003674450	2023/05/08 16:43:54.070	0.00000000000006921280	2023/05/08 16:43:54.271	0.00000000000022459900	2023/05/08 16:43:54.972	0.00000000000032250000	2023/05/08 16:43:55.172	0.00000000000043000000	2023/05/08 16:43:55.372	0.00000000000043000000	2023/05/08 16:43:55.573	0.00000000000032250000
2023/05/08 16:43:58.845	0.00000000000112488000	2023/05/08 16:43:59.045	0.00000000000004971440	2023/05/08 16:43:59.245	0.00000000000004378470	2023/05/08 16:43:59.445	0.00000000000003260360	2023/05/08 16:43:59.645	0.00000000000003491380	2023/05/08 16:43:59.846	0.00000000000020534600	2023/05/08 16:44:00.547	0.00000000000032250000	2023/05/08 16:44:00.747	0.00000000000043000000	2023/05/08 16:44:00.947	0.00000000000043000000	2023/05/08 16:44:01.148	0.00000000000000000000
2023/05/08 16:44:04.420	0.00000000000113713000	2023/05/08 16:44:04.620	0.00000000000003494180	2023/05/08 16:44:04.820	0.00000000000002168810	2023/05/08 16:44:05.020	0.00000000000005056260	2023/05/08 16:44:05.220	0.00000000000004509090	2023/05/08 16:44:05.420	0.00000000000019442400	2023/05/08 16:44:06.122	0.00000000000021500000	2023/05/08 16:44:06.322	0.00000000000010750000	2023/05/08 16:44:06.522	0.00000000000032250000	2023/05/08 16:44:06.723	0.00000000000043000000
2023/05/08 16:44:09.995	0.00000000000113702000	2023/05/08 16:44:10.195	0.00000000000004961020	2023/05/08 16:44:10.395	0.00000000000004756120	2023/05/08 16:44:10.595	0.00000000000003238540	2023/05/08 16:44:10.795	0.00000000000004399110	2023/05/08 16:44:10.995	0.00000000000019162900	2023/05/08 16:44:11.697	0.00000000000021500000	2023/05/08 16:44:11.897	0.00000000000021500000	2023/05/08 16:44:12.097	0.00000000000032250000	2023/05/08 16:44:12.298	0.00000000000021500000
2023/05/08 16:44:15.570	0.00000000000116175000	2023/05/08 16:44:15.770	0.00000000000003178340	2023/05/08 16:44:15.970	0.00000000000004147450	2023/05/08 16:44:16.170	0.00000000000002980650	2023/05/08 16:44:16.370	0.00000000000005159350	2023/05/08 16:44:16.571	0.00000000000024501400	2023/05/08 16:44:17.272	0.00000000000043000000	2023/05/08 16:44:17.472	0.00000000000032250000	2023/05/08 16:44:17.672	0.00000000000053750000	2023/05/08 16:44:17.873	0.00000000000043000000
2023/05/08 16:44:21.145	0.00000000000119905000	2023/05/08 16:44:21.345	0.00000000000005942380	2023/05/08 16:44:21.545	0.00000000000002286740	2023/05/08 16:44:21.745	0.00000000000003517070	2023/05/08 16:44:21.945	0.00000000000007423520	2023/05/08 16:44:22.146	0.00000000000023013600	2023/05/08 16:44:22.847	0.00000000000032250000	2023/05/08 16:44:23.047	0.00000000000032250000	2023/05/08 16:44:23.247	0.00000000000021500000	2023/05/08 16:44:23.448	0.00000000000010750000
2023/05/08 16:44:26.720	0.00000000000123474000	2023/05/08 16:44:26.920	0.00000000000003300250	2023/05/08 16:44:27.120	0.00000000000004331710	2023/05/08 16:44:27.320	0.00000000000004612180	2023/05/08 16:44:27.520	0.00000000000006166630	2023/05/08 16:44:27.720	0.00000000000020600200	2023/05/08 16:44:28.422	0.00000000000032250000	2023/05/08 16:44:28.622	0.00000000000010750000	2023/05/08 16:44:28.822	0.00000000000000000000
