	p_H2 during ESD	H2 base pressure	conductance factor	Temp
14			0.01992516581153798	4.2
15			0.01992516581153798	4.2
16			0.01992516581153798	4.2
17			0.01992516581153798	4.2
18			0.01992516581153798	4.2
19			0.01992516581153798	4.2
20			0.01992516581153798	4.2
21			0.01992516581153798	4.2
22			0.01992516581153798	4.2
23			0.01992516581153798	4.2
24			0.01992516581153798	4.2
25			0.01992516581153798	4.2
26			0.01992516581153798	4.2
27			0.01992516581153798	4.2
28			0.01992516581153798	4.2
29			0.01992516581153798	4.2
30			0.01992516581153798	4.2
31			0.01992516581153798	4.2
32			0.01992516581153798	4.2
33			0.01992516581153798	4.2
34			0.01992516581153798	4.2
35			0.01992516581153798	4.2
36			0.01992516581153798	4.2
37			0.01992516581153798	4.2
38			0.01992516581153798	4.2
39			0.01992516581153798	4.2
40			0.01992516581153798	4.2
41			0.01992516581153798	4.2
42			0.01992516581153798	4.2
43			0.01992516581153798	4.2
44			0.01992516581153798	4.2
45			0.01992516581153798	4.2
46			0.01992516581153798	4.2
47			0.01992516581153798	4.2
48			0.01992516581153798	4.2
49			0.01992516581153798	4.2
50			0.01992516581153798	4.2
51			0.01992516581153798	4.2
52			0.01992516581153798	4.2
53			0.01992516581153798	4.2
54			0.01992516581153798	4.2
55			0.01992516581153798	4.2
56			0.01992516581153798	4.2
57			0.01992516581153798	4.2
93	2.638390674248089e-11		0.01992516581153798	4.2
94	2.268820937980155e-11		0.01992516581153798	4.2
95	1.9819677551604868e-11		0.01992516581153798	4.2
96	2.3206585077931612e-11		0.01992516581153798	4.2
97	1.7363331251570823e-11		0.01992516581153798	4.2
98	2.1050645179778916e-11		0.01992516581153798	4.2
99	2.1230889020907727e-11		0.01992516581153798	4.2
100	1.7408042902083376e-11		0.01992516581153798	4.2
101	1.6094638168276694e-11		0.01992516581153798	4.2
102	1.8880732890840923e-11		0.01992516581153798	4.2
103	1.5756506311275443e-11		0.01992516581153798	4.2
104	1.161089796531356e-11		0.01992516581153798	4.2
105	1.8513259013190836e-11		0.01992516581153798	4.2
106	9.605859887640657e-12		0.01992516581153798	4.2
107	1.680024390292821e-11		0.01992516581153798	4.2
108	1.2218696964468725e-11		0.01992516581153798	4.2
109	1.4479429793510242e-11		0.01992516581153798	4.2
110	1.6484467871183145e-11		0.01992516581153798	4.2
111	1.4299185952381615e-11		0.01992516581153798	4.2
112	1.2436666260717438e-11		0.01992516581153798	4.2
113	1.3825521904764105e-11		0.01992516581153798	4.2
114	1.7828611864717262e-11		0.01992516581153798	4.2
115	1.1190329002679672e-11		0.01992516581153798	4.2
116	1.743179596641816e-11		0.01992516581153798	4.2
117	1.0124235585770717e-11		0.01992516581153798	4.2
118	1.0859183341071069e-11		0.01992516581153798	4.2
119	1.1566186314801008e-11		0.01992516581153798	4.2
120	1.6003817628173167e-11		0.01992516581153798	4.2
121	1.299975360936005e-11		0.01992516581153798	4.2
122	1.0048784675530729e-11		0.01992516581153798	4.2
123	1.3638291868242648e-11		0.01992516581153798	4.2
124	1.3600566413122745e-11		0.01992516581153798	4.2
125	1.449479942337396e-11		0.01992516581153798	4.2
126	1.4479429793510242e-11		0.01992516581153798	4.2
127	1.3451061831721372e-11		0.01992516581153798	4.2
128	1.2098534403716184e-11		0.01992516581153798	4.2
129	1.535130697850527e-11		0.01992516581153798	4.2
130	1.0304479426899524e-11		0.01992516581153798	4.2
131	1.4915368386007846e-11		0.01992516581153798	4.2
132	1.0634227849429708e-11		0.01992516581153798	4.2
133	1.1099508462576148e-11		0.01992516581153798	4.2
134	6.8113817306053585e-12		0.01992516581153798	4.2
135	1.1250410283055941e-11		0.01992516581153798	4.2
136	5.48956180689104e-13		0.01992516581153798	4.2
137	0.0		0.01992516581153798	4.2
