	Timestamp, mass 2	mass 2.0_value	Timestamp, mass 4	mass 4.0_value	Timestamp, mass 5.5	mass 5.5_value	Timestamp, mass 12	mass 12.0_value	Timestamp, mass 15	mass 15.0_value	Timestamp, mass 16	mass 16.0_value	Timestamp, mass 18	mass 18.0_value	Timestamp, mass 28	mass 28.0_value	Timestamp, mass 32	mass 32.0_value	Timestamp, mass 40	mass 40.0_value	Timestamp, mass 44	mass 44.0_value
12	2023-01-12 17:16:02.918	9.00098e-11	2023-01-12 17:15:59.917	2.7e-14	2023-01-12 17:15:59.918	1.14e-13	2023-01-12 17:15:59.918	3.057e-13	2023-01-12 17:15:59.917	1.822e-13	2023-01-12 17:15:59.917	6.184e-13	2023-01-12 17:15:59.917	1.2904e-12	2023-01-12 17:15:59.917	1.9903e-12	2023-01-12 17:15:59.918	2.002e-13	2023-01-12 17:15:59.166	1.75e-14	2023-01-12 17:14:44.017	2.46175e-11
13	2023-01-12 17:16:09.244	8.99506e-11	2023-01-12 17:16:06.243	2.46e-14	2023-01-12 17:16:06.243	1.305e-13	2023-01-12 17:16:06.243	2.954e-13	2023-01-12 17:16:06.242	1.784e-13	2023-01-12 17:16:06.242	6.09e-13	2023-01-12 17:16:06.243	1.2934e-12	2023-01-12 17:16:06.243	1.9262e-12	2023-01-12 17:16:06.244	1.92e-13	2023-01-12 17:16:05.492	2.64e-14	2023-01-12 17:14:44.017	2.451e-11
14	2023-01-12 17:16:15.569	5.77538e-11	2023-01-12 17:16:12.568	9.66e-14	2023-01-12 17:16:12.568	1.314e-13	2023-01-12 17:16:12.568	2.984e-13	2023-01-12 17:16:12.567	1.886e-13	2023-01-12 17:16:12.568	6e-13	2023-01-12 17:16:12.568	1.3036e-12	2023-01-12 17:16:12.568	1.9306e-12	2023-01-12 17:16:12.569	2.035e-13	2023-01-12 17:16:11.817	2.56e-14	2023-01-12 17:14:44.017	2.451e-11
15	2023-01-12 17:16:21.894	5.86041e-11	2023-01-12 17:16:18.893	9.76e-14	2023-01-12 17:16:18.893	1.269e-13	2023-01-12 17:16:18.893	3.357e-13	2023-01-12 17:16:18.892	1.758e-13	2023-01-12 17:16:18.893	6.123e-13	2023-01-12 17:16:18.893	1.2898e-12	2023-01-12 17:16:18.893	1.9651e-12	2023-01-12 17:16:18.894	2.12e-13	2023-01-12 17:16:18.142	2.94e-14	2023-01-12 17:14:44.017	2.44025e-11
16	2023-01-12 17:16:28.219	5.89777e-11	2023-01-12 17:16:25.218	9.59e-14	2023-01-12 17:16:25.218	1.414e-13	2023-01-12 17:16:25.218	3.279e-13	2023-01-12 17:16:25.217	1.909e-13	2023-01-12 17:16:25.218	6.277e-13	2023-01-12 17:16:25.218	1.3319e-12	2023-01-12 17:16:25.218	1.9741e-12	2023-01-12 17:16:25.219	2.012e-13	2023-01-12 17:16:24.467	2.02e-14	2023-01-12 17:14:44.017	2.408e-11
17	2023-01-12 17:16:34.544	5.94346e-11	2023-01-12 17:16:31.543	8.14e-14	2023-01-12 17:16:31.543	1.391e-13	2023-01-12 17:16:31.543	3.365e-13	2023-01-12 17:16:31.542	1.837e-13	2023-01-12 17:16:31.542	6.063e-13	2023-01-12 17:16:31.543	1.3306e-12	2023-01-12 17:16:31.543	2.0388e-12	2023-01-12 17:16:31.544	2.12e-13	2023-01-12 17:16:30.792	2.54e-14	2023-01-12 17:14:44.017	2.40262e-11
18	2023-01-12 17:16:40.869	5.967e-11	2023-01-12 17:16:37.868	9.71e-14	2023-01-12 17:16:37.868	1.537e-13	2023-01-12 17:16:37.868	3.249e-13	2023-01-12 17:16:37.867	1.882e-13	2023-01-12 17:16:37.867	6.216e-13	2023-01-12 17:16:37.868	1.3377e-12	2023-01-12 17:16:37.868	2.0351e-12	2023-01-12 17:16:37.869	1.882e-13	2023-01-12 17:16:37.117	3.31e-14	2023-01-12 17:14:44.017	2.41875e-11
19	2023-01-12 17:16:47.194	6.01559e-11	2023-01-12 17:16:44.193	9.86e-14	2023-01-12 17:16:44.193	1.342e-13	2023-01-12 17:16:44.193	2.988e-13	2023-01-12 17:16:44.192	1.832e-13	2023-01-12 17:16:44.193	6.437e-13	2023-01-12 17:16:44.193	1.2847e-12	2023-01-12 17:16:44.193	2.0618e-12	2023-01-12 17:16:44.194	2.051e-13	2023-01-12 17:16:43.442	3.75e-14	2023-01-12 17:14:44.017	2.42412e-11
20	2023-01-12 17:16:53.519	6.03682e-11	2023-01-12 17:16:50.518	9.04e-14	2023-01-12 17:16:50.518	1.273e-13	2023-01-12 17:16:50.518	3.205e-13	2023-01-12 17:16:50.517	2.088e-13	2023-01-12 17:16:50.518	5.934e-13	2023-01-12 17:16:50.518	1.3525e-12	2023-01-12 17:16:50.518	2.0274e-12	2023-01-12 17:16:50.519	2.049e-13	2023-01-12 17:16:49.767	2.68e-14	2023-01-12 17:14:44.017	2.41337e-11
21	2023-01-12 17:16:59.844	6.04005e-11	2023-01-12 17:16:56.843	9.24e-14	2023-01-12 17:16:56.843	1.248e-13	2023-01-12 17:16:56.843	3.537e-13	2023-01-12 17:16:56.842	1.993e-13	2023-01-12 17:16:56.843	5.968e-13	2023-01-12 17:16:56.843	1.3649e-12	2023-01-12 17:16:56.843	2.0331e-12	2023-01-12 17:16:56.844	1.847e-13	2023-01-12 17:16:56.092	2.1e-14	2023-01-12 17:14:44.017	2.408e-11
