ASCII SAMPLE CYCLES :			primary desorption, grid opaque.mdc
DATE :	10/10/2022	TIME :	09:57:53 pm
CONVERTED CYCLES :			363
Number of stored cycles			363
Printed start cycle			1
Printed end cycle			363
Number of stored datablocks			1
Datablock 0	Ion Current	[A]	
'0/0'	2.00	min:	5.41951E-011	max:	4.29319E-010	
'0/1'	12.00	min:	3.12211E-012	max:	2.99482E-011	
'0/2'	14.00	min:	8.42336E-013	max:	1.54614E-011	ABS A,B	T_min:	5E-007	T_max:	1E-008	
'0/3'	15.00	min:	8.04134E-013	max:	3.58094E-011	
'0/4'	16.00	min:	7.93774E-012	max:	5.77613E-011	ABS A AND B	T_min:	5E-007	
'0/5'	18.00	min:	7.90488E-011	max:	1.15856E-010	ABS A,B	T_min:	5E-007	T_max:	1E-008	
'0/6'	28.00	min:	1.16996E-011	max:	1.39434E-010	ABS A AND B	T_min:	5E-007	
'0/7'	32.00	min:	3.52664E-013	max:	5.90086E-013	ABS A	T_min:	5E-007	
'0/8'	40.00	min:	3.72538E-013	max:	1.82801E-012	ABS B	T_min:	5E-007	
'0/9'	44.00	min:	6.45608E-012	max:	4.24035E-011	ABS A,B	T_min:	5E-007	T_max:	1E-008	
Cycle	Date	Time	RelTime[s]	'0/0'	'0/1'	'0/2'	Threshold	'0/3'	'0/4'	Threshold	'0/5'	Threshold	'0/6'	Threshold	'0/7'	Threshold	'0/8'	Threshold	'0/9'	Threshold	
74	10/10/2022	10:11:28:08 pm	815.08	4.23905E-010	2.93337E-011	1.50712E-011	HL	3.5021E-011	5.63448E-011	L	1.15136E-010	HL	1.37944E-010	L	5.44391E-013	H	1.77438E-012	L	3.70595E-011	HL	
75	10/10/2022	10:11:39:21 pm	826.217	4.21601E-010	2.93211E-011	1.51191E-011	HL	3.46196E-011	5.58393E-011	L	1.14666E-010	HL	1.38206E-010	L	5.45869E-013	H	1.71218E-012	L	3.65543E-011	HL	
76	10/10/2022	10:11:50:30 pm	837.305	4.21472E-010	2.94959E-011	1.51532E-011	HL	3.46498E-011	5.60698E-011	L	1.14482E-010	HL	1.38337E-010	L	5.49839E-013	H	1.74832E-012	L	3.68887E-011	HL	
77	10/10/2022	10:12:01:31 pm	848.312	4.19745E-010	2.92801E-011	1.50412E-011	HL	3.44879E-011	5.61847E-011	L	1.14667E-010	HL	1.37872E-010	L	5.76139E-013	H	1.78259E-012	L	3.67906E-011	HL	
78	10/10/2022	10:12:12:32 pm	859.321	4.21944E-010	2.91554E-011	1.49804E-011	HL	3.44612E-011	5.58965E-011	L	1.14959E-010	HL	1.38483E-010	L	5.48425E-013	H	1.69064E-012	L	3.67105E-011	HL	
79	10/10/2022	10:12:23:39 pm	870.398	4.21754E-010	2.94319E-011	1.49301E-011	HL	3.46785E-011	5.59136E-011	L	1.14819E-010	HL	1.3874E-010	L	5.47964E-013	H	1.75206E-012	L	3.65084E-011	HL	
80	10/10/2022	10:12:34:47 pm	881.476	4.20787E-010	2.92155E-011	1.49477E-011	HL	3.45296E-011	5.59573E-011	L	1.14988E-010	HL	1.38564E-010	L	5.7508E-013	H	1.70886E-012	L	3.63871E-011	HL	
81	10/10/2022	10:12:45:55 pm	892.554	4.19235E-010	2.91206E-011	1.49943E-011	HL	3.45863E-011	5.58242E-011	L	1.15013E-010	HL	1.37879E-010	L	5.51564E-013	H	1.70516E-012	L	3.61989E-011	HL	
82	10/10/2022	10:12:56:57 pm	903.572	4.19922E-010	2.90924E-011	1.49836E-011	HL	3.46094E-011	5.59975E-011	L	1.14972E-010	HL	1.38298E-010	L	5.58733E-013	H	1.73904E-012	L	3.63347E-011	HL	
83	10/10/2022	10:13:07:64 pm	914.649	4.1938E-010	2.91117E-011	1.48258E-011	HL	3.48339E-011	5.55874E-011	L	1.15068E-010	HL	1.38879E-010	L	5.71779E-013	H	1.67473E-012	L	3.631E-011	HL	
84	10/10/2022	10:13:18:71 pm	925.718	4.18958E-010	2.88884E-011	1.47572E-011	HL	3.46317E-011	5.54631E-011	L	1.15478E-010	HL	1.38022E-010	L	5.57619E-013	H	1.72315E-012	L	3.64926E-011	HL	
85	10/10/2022	10:13:29:72 pm	936.725	4.193E-010	2.90826E-011	1.48912E-011	HL	3.4431E-011	5.57018E-011	L	1.15545E-010	HL	1.38384E-010	L	5.5318E-013	H	1.69752E-012	L	3.62217E-011	HL	
86	10/10/2022	10:13:40:75 pm	947.754	4.18731E-010	2.90237E-011	1.50516E-011	HL	3.45838E-011	5.5519E-011	L	1.15152E-010	HL	1.39434E-010	L	5.4278E-013	H	1.70783E-012	L	3.61121E-011	HL	
87	10/10/2022	10:13:51:76 pm	958.76	4.21142E-010	2.90612E-011	1.48807E-011	HL	3.43668E-011	5.56828E-011	L	1.15304E-010	HL	1.38065E-010	L	5.67847E-013	H	1.66122E-012	L	3.62269E-011	HL	
88	10/10/2022	10:14:02:77 pm	969.778	4.20327E-010	2.91468E-011	1.50026E-011	HL	3.40782E-011	5.53234E-011	L	1.14841E-010	HL	1.38387E-010	L	5.57397E-013	H	1.70537E-012	L	3.61176E-011	HL	
89	10/10/2022	10:14:13:85 pm	980.856	4.17904E-010	2.89607E-011	1.48119E-011	HL	3.42649E-011	5.52745E-011	L	1.14397E-010	HL	1.38204E-010	L	5.66979E-013	H	1.70183E-012	L	3.61391E-011	HL	
90	10/10/2022	10:14:24:93 pm	991.934	4.14859E-010	2.89646E-011	1.4838E-011	HL	3.39445E-011	5.5112E-011	L	1.14795E-010	HL	1.38244E-010	L	5.53286E-013	H	1.70313E-012	L	3.59171E-011	HL	
91	10/10/2022	10:14:35:95 pm	1002.95	4.14934E-010	2.90192E-011	1.48919E-011	HL	3.41831E-011	5.5367E-011	L	1.15748E-010	HL	1.38175E-010	L	5.65578E-013	H	1.69162E-012	L	3.60044E-011	HL	
92	10/10/2022	10:14:47:04 pm	1014.04	4.15476E-010	2.87261E-011	1.4745E-011	HL	3.40367E-011	5.50943E-011	L	1.14794E-010	HL	1.37961E-010	L	5.29465E-013	H	1.68355E-012	L	3.55015E-011	HL	
93	10/10/2022	10:14:58:17 pm	1025.18	4.14741E-010	2.87683E-011	1.46936E-011	HL	3.3922E-011	5.50724E-011	L	1.15014E-010	HL	1.37899E-010	L	5.42894E-013	H	1.66742E-012	L	3.60389E-011	HL	
94	10/10/2022	10:15:09:32 pm	1036.32	4.14393E-010	2.89038E-011	1.46678E-011	HL	3.38849E-011	5.5116E-011	L	1.15213E-010	HL	1.37597E-010	L	5.50566E-013	H	1.67323E-012	L	3.60216E-011	HL	
95	10/10/2022	10:15:20:46 pm	1047.46	4.13003E-010	2.88316E-011	1.45473E-011	HL	3.38859E-011	5.49873E-011	L	1.15169E-010	HL	1.37578E-010	L	5.68684E-013	H	1.75394E-012	L	3.58191E-011	HL	
96	10/10/2022	10:15:31:54 pm	1058.54	4.12976E-010	2.61438E-011	1.04554E-011	HL	1.84256E-011	2.71793E-011	L	1.05714E-010	HL	5.90072E-011	L	4.55733E-013	H	7.65483E-013	L	1.09225E-011	HL	
97	10/10/2022	10:15:42:73 pm	1069.74	8.62483E-011	8.49575E-012	3.00557E-012	HL	5.66879E-012	1.55965E-011	L	9.61442E-011	HL	4.0951E-011	L	4.32026E-013	H	6.70481E-013	L	9.62969E-012	HL	
98	10/10/2022	10:15:53:87 pm	1080.88	7.79888E-011	7.23739E-012	2.43326E-012	HL	4.39652E-012	1.3979E-011	L	9.35942E-011	HL	3.57117E-011	L	4.32714E-013	H	6.30017E-013	L	9.23021E-012	HL	
99	10/10/2022	10:16:05:12 pm	1092.12	7.41309E-011	6.49769E-012	2.22737E-012	HL	3.82891E-012	1.31095E-011	L	9.13836E-011	HL	3.25553E-011	L	4.10528E-013	H	6.15721E-013	L	8.58588E-012	HL	
100	10/10/2022	10:16:16:55 pm	1103.55	7.15662E-011	6.28564E-012	1.96803E-012	HL	3.38651E-012	1.24586E-011	L	9.03806E-011	HL	3.04743E-011	L	4.24832E-013	H	5.47852E-013	L	8.41456E-012	HL	
101	10/10/2022	10:16:27:97 pm	1114.97	7.00212E-011	5.72575E-012	1.88145E-012	HL	3.07884E-012	1.20195E-011	L	8.96702E-011	HL	2.87695E-011	L	4.05781E-013	H	5.58571E-013	L	8.18694E-012	HL	
102	10/10/2022	10:16:39:35 pm	1126.36	6.82335E-011	5.68274E-012	1.79596E-012	HL	2.81853E-012	1.17171E-011	L	8.91568E-011	HL	2.74489E-011	L	4.15519E-013	H	5.39124E-013	L	8.07893E-012	HL	
103	10/10/2022	10:16:50:77 pm	1137.78	6.68154E-011	5.67178E-012	1.70245E-012	HL	2.74146E-012	1.15163E-011	L	8.86857E-011	HL	2.63602E-011	L	4.17252E-013	H	5.31785E-013	L	8.16693E-012	HL	
104	10/10/2022	10:17:02:10 pm	1149.1	6.69894E-011	5.40563E-012	1.58972E-012	HL	2.54539E-012	1.11232E-011	L	8.76304E-011	HL	2.53374E-011	L	3.99832E-013	H	5.09834E-013	L	7.80235E-012	HL	
105	10/10/2022	10:17:13:48 pm	1160.48	6.6012E-011	5.18815E-012	1.61254E-012	HL	2.42253E-012	1.10642E-011	L	8.72587E-011	HL	2.44989E-011	L	4.02793E-013	H	5.36932E-013	L	7.97049E-012	HL	
106	10/10/2022	10:17:24:90 pm	1171.91	6.47204E-011	5.08796E-012	1.58526E-012	HL	2.32381E-012	1.11167E-011	L	8.81351E-011	HL	2.37729E-011	L	3.93742E-013	H	4.72784E-013	L	7.64686E-012	HL	
107	10/10/2022	10:17:36:33 pm	1183.34	6.48847E-011	5.03979E-012	1.53945E-012	HL	2.2845E-012	1.06913E-011	L	8.73489E-011	HL	2.32344E-011	L	4.02189E-013	H	5.02219E-013	L	7.78288E-012	HL	
108	10/10/2022	10:17:47:74 pm	1194.74	6.40163E-011	4.9076E-012	1.46838E-012	HL	2.18711E-012	1.0724E-011	L	8.70618E-011	HL	2.26671E-011	L	4.09379E-013	H	4.88733E-013	L	7.63999E-012	HL	
109	10/10/2022	10:17:59:18 pm	1206.18	6.37817E-011	4.88143E-012	1.47727E-012	HL	2.12393E-012	1.05503E-011	L	8.65072E-011	HL	2.22816E-011	L	4.04073E-013	H	4.87357E-013	L	7.65768E-012	HL	
110	10/10/2022	10:18:10:68 pm	1217.69	6.28752E-011	4.89364E-012	1.45491E-012	HL	2.01017E-012	1.04432E-011	L	8.65991E-011	HL	2.18564E-011	L	4.0634E-013	H	4.84265E-013	L	7.7195E-012	HL	
111	10/10/2022	10:18:22:14 pm	1229.15	6.26526E-011	4.66794E-012	1.48096E-012	HL	2.01328E-012	1.03977E-011	L	8.62883E-011	HL	2.145E-011	L	4.08562E-013	H	4.78245E-013	L	7.65646E-012	HL	
112	10/10/2022	10:18:33:52 pm	1240.52	6.31346E-011	4.56306E-012	1.38633E-012	HL	1.93416E-012	1.02777E-011	L	8.61337E-011	HL	2.10749E-011	L	3.99935E-013	H	5.08546E-013	L	7.48472E-012	HL	
113	10/10/2022	10:18:44:93 pm	1251.93	6.21518E-011	4.63181E-012	1.38855E-012	HL	1.89074E-012	1.00466E-011	L	8.59026E-011	HL	2.07676E-011	L	4.01211E-013	H	4.76583E-013	L	7.47118E-012	HL	
114	10/10/2022	10:18:56:31 pm	1263.31	6.22615E-011	4.64299E-012	1.35162E-012	HL	1.82432E-012	1.01233E-011	L	8.56294E-011	HL	2.03572E-011	L	4.04867E-013	H	4.94995E-013	L	7.53551E-012	HL	
115	10/10/2022	10:19:07:71 pm	1274.72	6.14398E-011	4.57369E-012	1.35046E-012	HL	1.80596E-012	1.00691E-011	L	8.54251E-011	HL	2.03213E-011	L	3.97729E-013	H	4.78612E-013	L	7.32518E-012	HL	
116	10/10/2022	10:19:19:09 pm	1286.1	6.15171E-011	4.41692E-012	1.32897E-012	HL	1.7531E-012	1.01635E-011	L	8.54514E-011	HL	1.98631E-011	L	4.02459E-013	H	4.67153E-013	L	7.49466E-012	HL	
117	10/10/2022	10:19:30:44 pm	1297.44	6.10457E-011	4.35418E-012	1.30971E-012	HL	1.71727E-012	1.01035E-011	L	8.51216E-011	HL	1.96188E-011	L	3.88684E-013	H	4.70802E-013	L	7.29852E-012	HL	
118	10/10/2022	10:19:41:85 pm	1308.85	6.06384E-011	4.40062E-012	1.29358E-012	HL	1.75304E-012	9.85315E-012	L	8.48669E-011	HL	1.94399E-011	L	4.04756E-013	H	4.48653E-013	L	7.33785E-012	HL	
119	10/10/2022	10:19:53:27 pm	1320.28	6.09944E-011	4.3668E-012	1.28374E-012	HL	1.73175E-012	9.72718E-012	L	8.43678E-011	HL	1.91855E-011	L	3.85768E-013	H	4.56868E-013	L	7.22486E-012	HL	
120	10/10/2022	10:20:04:70 pm	1331.71	6.03066E-011	4.34279E-012	1.26366E-012	HL	1.64735E-012	9.79916E-012	L	8.49351E-011	HL	1.89672E-011	L	3.94016E-013	H	4.64296E-013	L	7.16967E-012	HL	
121	10/10/2022	10:20:16:08 pm	1343.08	6.08803E-011	4.37334E-012	1.29189E-012	HL	1.63406E-012	9.82591E-012	L	8.42011E-011	HL	1.87302E-011	L	4.00015E-013	H	4.6674E-013	L	7.25673E-012	HL	
122	10/10/2022	10:20:27:46 pm	1354.46	6.03167E-011	4.31925E-012	1.28158E-012	HL	1.61188E-012	9.76255E-012	L	8.46102E-011	HL	1.8493E-011	L	3.69201E-013	H	4.75033E-013	L	7.21045E-012	HL	
123	10/10/2022	10:20:38:86 pm	1365.86	6.0856E-011	4.28316E-012	1.23347E-012	HL	1.58196E-012	9.71085E-012	L	8.41887E-011	HL	1.80604E-011	L	4.03034E-013	H	4.60114E-013	L	7.22125E-012	HL	
124	10/10/2022	10:20:50:23 pm	1377.24	6.04202E-011	4.16927E-012	1.25443E-012	HL	1.58823E-012	9.83917E-012	L	8.40966E-011	HL	1.81264E-011	L	3.98749E-013	H	4.76714E-013	L	7.07346E-012	HL	
125	10/10/2022	10:21:01:60 pm	1388.6	6.01953E-011	4.23182E-012	1.23911E-012	HL	1.584E-012	9.71572E-012	L	8.46037E-011	HL	1.81111E-011	L	4.0049E-013	H	4.5334E-013	L	7.18807E-012	HL	
126	10/10/2022	10:21:13:07 pm	1400.07	5.99682E-011	4.15014E-012	1.19406E-012	HL	1.54336E-012	9.81311E-012	L	8.37226E-011	HL	1.78964E-011	L	3.98647E-013	H	4.67498E-013	L	7.25064E-012	HL	
127	10/10/2022	10:21:24:53 pm	1411.53	5.98838E-011	4.15259E-012	1.22152E-012	HL	1.54143E-012	9.18226E-012	L	8.4171E-011	HL	1.80939E-011	L	3.92538E-013	H	4.42619E-013	L	7.16541E-012	HL	
128	10/10/2022	10:21:35:90 pm	1422.91	6.01869E-011	4.21349E-012	1.2249E-012	HL	1.50541E-012	9.49452E-012	L	8.38541E-011	HL	1.76944E-011	L	4.01279E-013	H	4.81908E-013	L	7.20435E-012	HL	
129	10/10/2022	10:21:47:33 pm	1434.34	5.9574E-011	4.13348E-012	1.20127E-012	HL	1.50493E-012	9.5562E-012	L	8.38408E-011	HL	1.75052E-011	L	3.94636E-013	H	4.54949E-013	L	7.26458E-012	HL	
130	10/10/2022	10:21:58:77 pm	1445.77	5.87999E-011	4.11859E-012	1.25301E-012	HL	1.47601E-012	9.57865E-012	L	8.33609E-011	HL	1.75464E-011	L	3.98533E-013	H	4.34021E-013	L	7.2035E-012	HL	
131	10/10/2022	10:22:10:13 pm	1457.13	5.93083E-011	4.10047E-012	1.18988E-012	HL	1.45312E-012	9.47248E-012	L	8.36657E-011	HL	1.75194E-011	L	3.82689E-013	H	4.43516E-013	L	7.15587E-012	HL	
132	10/10/2022	10:22:21:49 pm	1468.49	6.01238E-011	4.08656E-012	1.20511E-012	HL	1.49837E-012	9.59019E-012	L	8.35547E-011	HL	1.72067E-011	L	3.95812E-013	H	4.34081E-013	L	7.01632E-012	HL	
133	10/10/2022	10:22:32:89 pm	1479.9	5.97989E-011	3.95974E-012	1.21604E-012	HL	1.48594E-012	9.54493E-012	L	8.36847E-011	HL	1.71541E-011	L	3.99905E-013	H	4.4676E-013	L	7.06057E-012	HL	
134	10/10/2022	10:22:44:40 pm	1491.4	5.94186E-011	3.96838E-012	1.18752E-012	HL	1.47326E-012	9.41496E-012	L	8.31127E-011	HL	1.71351E-011	L	3.86047E-013	H	4.53355E-013	L	7.02759E-012	HL	
135	10/10/2022	10:22:55:78 pm	1502.78	5.89993E-011	4.03018E-012	1.16216E-012	HL	1.46749E-012	9.31856E-012	L	8.37204E-011	HL	1.69447E-011	L	3.80398E-013	H	4.45378E-013	L	7.05485E-012	HL	
136	10/10/2022	10:23:07:07 pm	1514.07	5.91789E-011	3.89344E-012	1.14737E-012	HL	1.435E-012	9.52394E-012	L	8.3642E-011	HL	1.69064E-011	L	4.00985E-013	H	4.4842E-013	L	6.95069E-012	HL	
137	10/10/2022	10:23:18:42 pm	1525.43	5.87361E-011	3.94015E-012	1.20478E-012	HL	1.44307E-012	9.44515E-012	L	8.28299E-011	HL	1.67646E-011	L	3.84816E-013	H	4.59858E-013	L	6.96907E-012	HL	
138	10/10/2022	10:23:29:78 pm	1536.79	5.90887E-011	3.92903E-012	1.17043E-012	HL	1.40862E-012	9.13232E-012	L	8.30452E-011	HL	1.6651E-011	L	3.94578E-013	H	4.34768E-013	L	7.11765E-012	HL	
139	10/10/2022	10:23:41:26 pm	1548.26	5.8139E-011	3.9696E-012	1.19552E-012	HL	1.40273E-012	9.25513E-012	L	8.27142E-011	HL	1.67423E-011	L	3.82013E-013	H	4.37598E-013	L	7.29313E-012	HL	
140	10/10/2022	10:23:52:71 pm	1559.71	5.93075E-011	4.01314E-012	1.16628E-012	HL	1.43516E-012	9.52528E-012	L	8.35055E-011	HL	1.65661E-011	L	3.81815E-013	H	4.50859E-013	L	7.01489E-012	HL	
141	10/10/2022	10:24:04:07 pm	1571.08	5.84979E-011	3.97953E-012	1.17265E-012	HL	1.34502E-012	9.47282E-012	L	8.31802E-011	HL	1.63973E-011	L	3.89474E-013	H	4.28876E-013	L	7.15238E-012	HL	
142	10/10/2022	10:24:15:45 pm	1582.46	5.88106E-011	3.90402E-012	1.15553E-012	HL	1.39315E-012	9.4626E-012	L	8.2717E-011	HL	1.63324E-011	L	3.88195E-013	H	4.54199E-013	L	6.97329E-012	HL	
143	10/10/2022	10:24:26:80 pm	1593.81	5.88781E-011	3.87602E-012	1.14297E-012	HL	1.3655E-012	9.54845E-012	L	8.35288E-011	HL	1.65144E-011	L	3.85173E-013	H	4.40829E-013	L	7.07592E-012	HL	
144	10/10/2022	10:24:38:17 pm	1605.17	5.86452E-011	3.88024E-012	1.1403E-012	HL	1.34324E-012	9.10594E-012	L	8.34448E-011	HL	1.64601E-011	L	3.79121E-013	H	4.41715E-013	L	7.01496E-012	HL	
145	10/10/2022	10:24:49:56 pm	1616.56	5.83658E-011	3.91886E-012	1.14761E-012	HL	1.33858E-012	9.34675E-012	L	8.30871E-011	HL	1.6356E-011	L	3.83165E-013	H	4.35141E-013	L	7.01489E-012	HL	
146	10/10/2022	10:25:00:94 pm	1627.95	5.87727E-011	3.85186E-012	1.13436E-012	HL	1.34083E-012	9.22677E-012	L	8.28966E-011	HL	1.60128E-011	L	3.90427E-013	H	4.27574E-013	L	7.03589E-012	HL	
147	10/10/2022	10:25:12:40 pm	1639.41	5.81192E-011	3.84545E-012	1.17601E-012	HL	1.33841E-012	9.12492E-012	L	8.28572E-011	HL	1.6161E-011	L	3.829E-013	H	4.1559E-013	L	6.94962E-012	HL	
148	10/10/2022	10:25:23:86 pm	1650.86	5.84312E-011	3.88245E-012	1.14635E-012	HL	1.31604E-012	8.99255E-012	L	8.23184E-011	HL	1.61672E-011	L	3.96349E-013	H	4.56097E-013	L	6.92513E-012	HL	
149	10/10/2022	10:25:35:22 pm	1662.22	5.82798E-011	3.9191E-012	1.10577E-012	HL	1.33566E-012	9.18442E-012	L	8.21831E-011	HL	1.60864E-011	L	3.85013E-013	H	4.51737E-013	L	7.15268E-012	HL	
150	10/10/2022	10:25:46:65 pm	1673.66	5.82522E-011	3.87967E-012	1.14252E-012	HL	1.30309E-012	9.20406E-012	L	8.24271E-011	HL	1.60261E-011	L	3.97303E-013	H	4.53653E-013	L	6.89382E-012	HL	
151	10/10/2022	10:25:58:04 pm	1685.05	5.80855E-011	3.9552E-012	1.13108E-012	HL	1.31813E-012	9.43395E-012	L	8.2305E-011	HL	1.59428E-011	L	4.00526E-013	H	4.34999E-013	L	6.83959E-012	HL	
152	10/10/2022	10:26:09:40 pm	1696.4	5.8104E-011	3.81944E-012	1.10834E-012	HL	1.26242E-012	9.26073E-012	L	8.25234E-011	HL	1.57315E-011	L	3.94206E-013	H	4.29804E-013	L	6.831E-012	HL	
153	10/10/2022	10:26:20:93 pm	1707.93	5.78998E-011	3.79266E-012	1.09475E-012	HL	1.32884E-012	9.23756E-012	L	8.18705E-011	HL	1.58454E-011	L	3.84372E-013	H	4.40922E-013	L	7.10868E-012	HL	
154	10/10/2022	10:26:32:37 pm	1719.37	5.81622E-011	3.78356E-012	1.15105E-012	HL	1.3232E-012	8.91099E-012	L	8.20236E-011	HL	1.55401E-011	L	3.80184E-013	H	4.52832E-013	L	7.01061E-012	HL	
155	10/10/2022	10:26:43:78 pm	1730.79	5.85543E-011	3.80194E-012	1.11137E-012	HL	1.28839E-012	9.30451E-012	L	8.24279E-011	HL	1.5706E-011	L	3.84019E-013	H	4.24879E-013	L	6.87011E-012	HL	
156	10/10/2022	10:26:55:16 pm	1742.17	5.79374E-011	4.00047E-012	1.11123E-012	HL	1.2601E-012	9.01214E-012	L	8.19435E-011	HL	1.53971E-011	L	3.95269E-013	H	4.2102E-013	L	7.02651E-012	HL	
157	10/10/2022	10:27:06:55 pm	1753.55	5.75691E-011	3.87431E-012	1.15813E-012	HL	1.32372E-012	9.17333E-012	L	8.2215E-011	HL	1.55537E-011	L	3.87738E-013	H	4.39602E-013	L	6.90395E-012	HL	
158	10/10/2022	10:27:18:00 pm	1765	5.79889E-011	3.81423E-012	1.09233E-012	HL	1.30744E-012	9.22313E-012	L	8.23144E-011	HL	1.56219E-011	L	3.94101E-013	H	4.15592E-013	L	6.83925E-012	HL	
159	10/10/2022	10:27:29:44 pm	1776.45	5.7382E-011	3.72757E-012	1.12863E-012	HL	1.29844E-012	8.80827E-012	L	8.19969E-011	HL	1.53543E-011	L	3.82975E-013	H	4.5354E-013	L	6.83913E-012	HL	
160	10/10/2022	10:27:40:81 pm	1787.82	5.77358E-011	3.857E-012	1.05966E-012	HL	1.29392E-012	9.26858E-012	L	8.23368E-011	HL	1.53768E-011	L	3.75508E-013	H	4.21144E-013	L	6.79601E-012	HL	
161	10/10/2022	10:27:52:27 pm	1799.27	5.73851E-011	3.77109E-012	1.09479E-012	HL	1.25941E-012	8.85633E-012	L	8.18272E-011	HL	1.55342E-011	L	3.91736E-013	H	4.32273E-013	L	6.88812E-012	HL	
162	10/10/2022	10:28:03:73 pm	1810.73	5.74607E-011	3.76889E-012	1.11209E-012	HL	1.28639E-012	9.02161E-012	L	8.17373E-011	HL	1.51812E-011	L	3.78587E-013	H	4.42252E-013	L	6.79461E-012	HL	
163	10/10/2022	10:28:15:22 pm	1822.22	5.7036E-011	3.78615E-012	1.08174E-012	HL	1.25822E-012	8.97108E-012	L	8.17031E-011	HL	1.54971E-011	L	3.72478E-013	H	4.52927E-013	L	7.01766E-012	HL	
164	10/10/2022	10:28:26:67 pm	1833.68	5.77875E-011	3.85855E-012	1.09556E-012	HL	1.24698E-012	8.8715E-012	L	8.19977E-011	HL	1.5451E-011	L	3.9729E-013	H	4.1216E-013	L	6.90374E-012	HL	
165	10/10/2022	10:28:38:12 pm	1845.13	5.74949E-011	3.80493E-012	1.09313E-012	HL	1.24754E-012	9.3026E-012	L	8.135E-011	HL	1.52766E-011	L	3.9171E-013	H	4.3946E-013	L	6.98164E-012	HL	
166	10/10/2022	10:28:49:55 pm	1856.55	5.72289E-011	3.67705E-012	1.12581E-012	HL	1.20132E-012	9.05474E-012	L	8.26757E-011	HL	1.53962E-011	L	3.81354E-013	H	4.16045E-013	L	6.91423E-012	HL	
167	10/10/2022	10:29:00:96 pm	1867.96	5.74469E-011	3.67162E-012	1.06015E-012	HL	1.19686E-012	8.74801E-012	L	8.15018E-011	HL	1.5326E-011	L	3.92346E-013	H	4.16617E-013	L	6.75846E-012	HL	
168	10/10/2022	10:29:12:31 pm	1879.32	5.78751E-011	3.7104E-012	1.05551E-012	HL	1.22417E-012	9.20485E-012	L	8.19984E-011	HL	1.52602E-011	L	3.89948E-013	H	4.20353E-013	L	6.86917E-012	HL	
169	10/10/2022	10:29:23:69 pm	1890.7	5.76933E-011	3.74124E-012	1.09287E-012	HL	1.19147E-012	9.9442E-012	L	8.20945E-011	HL	1.52744E-011	L	3.87287E-013	H	4.16217E-013	L	6.80979E-012	HL	
170	10/10/2022	10:29:35:17 pm	1902.17	5.68391E-011	3.60928E-012	1.03013E-012	HL	1.27274E-012	8.60248E-012	L	8.20588E-011	HL	1.51516E-011	L	3.7942E-013	H	4.3981E-013	L	6.9234E-012	HL	
171	10/10/2022	10:29:46:57 pm	1913.57	5.71501E-011	3.68893E-012	1.05906E-012	HL	1.20834E-012	8.62851E-012	L	8.19941E-011	HL	1.51401E-011	L	3.93514E-013	H	4.44499E-013	L	6.90954E-012	HL	
172	10/10/2022	10:29:58:09 pm	1925.09	5.74937E-011	3.76168E-012	1.06066E-012	HL	1.21898E-012	8.82188E-012	L	8.22477E-011	HL	1.50228E-011	L	3.90545E-013	H	4.25925E-013	L	6.845E-012	HL	
173	10/10/2022	10:30:09:54 pm	1936.55	5.79553E-011	3.68744E-012	1.07854E-012	HL	1.20807E-012	9.24182E-012	L	8.17849E-011	HL	1.51059E-011	L	3.92254E-013	H	4.10942E-013	L	6.9216E-012	HL	
174	10/10/2022	10:30:20:90 pm	1947.91	5.76265E-011	3.60757E-012	1.06743E-012	HL	1.22732E-012	8.84812E-012	L	8.14865E-011	HL	1.50782E-011	L	3.70773E-013	H	4.16664E-013	L	6.92687E-012	HL	
175	10/10/2022	10:30:32:29 pm	1959.29	5.74822E-011	3.71533E-012	1.07183E-012	HL	1.18901E-012	8.86677E-012	L	8.11024E-011	HL	1.49421E-011	L	3.67351E-013	H	4.25915E-013	L	6.88648E-012	HL	
176	10/10/2022	10:30:43:77 pm	1970.77	5.70327E-011	3.69747E-012	1.0389E-012	HL	1.20209E-012	8.7923E-012	L	8.13194E-011	HL	1.48484E-011	L	3.75164E-013	H	4.1448E-013	L	6.88752E-012	HL	
177	10/10/2022	10:30:55:21 pm	1982.22	5.70378E-011	3.64988E-012	1.11736E-012	HL	1.25047E-012	9.12404E-012	L	8.13543E-011	HL	1.49905E-011	L	3.71527E-013	H	4.37006E-013	L	6.69957E-012	HL	
178	10/10/2022	10:31:06:63 pm	1993.64	5.70597E-011	3.62873E-012	1.05023E-012	HL	1.16785E-012	9.02145E-012	L	8.17877E-011	HL	1.49821E-011	L	3.80267E-013	H	4.13587E-013	L	6.96416E-012	HL	
179	10/10/2022	10:31:17:98 pm	2004.98	5.76724E-011	3.73569E-012	1.03284E-012	HL	1.18246E-012	8.68785E-012	L	8.10958E-011	HL	1.47162E-011	L	3.82852E-013	H	4.19366E-013	L	6.81123E-012	HL	
180	10/10/2022	10:31:29:42 pm	2016.42	5.6814E-011	3.60284E-012	1.08518E-012	HL	1.19832E-012	8.59517E-012	L	8.1576E-011	HL	1.48247E-011	L	3.74997E-013	H	4.06619E-013	L	6.97292E-012	HL	
181	10/10/2022	10:31:40:76 pm	2027.77	5.7257E-011	3.68702E-012	1.03837E-012	HL	1.16523E-012	8.68756E-012	L	8.17965E-011	HL	1.50368E-011	L	3.79587E-013	H	4.17441E-013	L	6.85158E-012	HL	
