F1((1=on,0=off))	1
F2((1=on,0=off))	0
cage(V)	3.0
delta-m(%)	+0
electron-energy(V)	70.0
emission(uA)	1000.000
focus(V)	-90
mass(amu)	2.00
mode-change-delay()	
multiplier(V)	810
resolution(%)	+0
Data()	
mass 2.0_time	mass 2.0_value	mass 4.0_time	mass 4.0_value	mass 12.0_time	mass 12.0_value	mass 15.0_time	mass 15.0_value	mass 16.0_time	mass 16.0_value	mass 18.0_time	mass 18.0_value	mass 28.0_time	mass 28.0_value	mass 32.0_time	mass 32.0_value	mass 40.0_time	mass 40.0_value	mass 44.0_time	mass 44.0_value
2023/06/06 16:41:18.271	0.00000000000075881000	2023/06/06 16:41:18.471	0.00000000000004145090	2023/06/06 16:41:18.671	0.00000000000002244380	2023/06/06 16:41:18.871	0.00000000000001672160	2023/06/06 16:41:19.071	0.00000000000002397250	2023/06/06 16:41:19.271	0.00000000000003284550
2023/06/06 16:41:23.846	0.00000000000073875100	2023/06/06 16:41:24.046	0.00000000000001773640	2023/06/06 16:41:24.246	0.00000000000002627830	2023/06/06 16:41:24.446	0.00000000000001318700	2023/06/06 16:41:24.646	0.00000000000002253200	2023/06/06 16:41:24.846	0.00000000000003883970
2023/06/06 16:41:29.421	0.00000000000073258000	2023/06/06 16:41:29.621	0.00000000000002882070	2023/06/06 16:41:29.821	0.00000000000000675852	2023/06/06 16:41:30.021	0.00000000000000865698	2023/06/06 16:41:30.221	0.00000000000003320890	2023/06/06 16:41:30.421	0.00000000000002962270
2023/06/06 16:41:34.996	0.00000000000073621400	2023/06/06 16:41:35.196	0.00000000000002932810	2023/06/06 16:41:35.396	0.00000000000000853227	2023/06/06 16:41:35.596	0.00000000000001160670	2023/06/06 16:41:35.796	0.00000000000002973660	2023/06/06 16:41:35.996	0.00000000000003523200
2023/06/06 16:41:40.571	0.00000000000076151900	2023/06/06 16:41:40.771	0.00000000000002833480	2023/06/06 16:41:40.971	0.00000000000003123090	2023/06/06 16:41:41.171	0.00000000000002289750	2023/06/06 16:41:41.371	0.00000000000001968000	2023/06/06 16:41:41.571	0.00000000000003096100
2023/06/06 16:41:46.146	0.00000000000071358500	2023/06/06 16:41:46.346	0.00000000000002638050	2023/06/06 16:41:46.546	0.00000000000001837390	2023/06/06 16:41:46.746	0.00000000000002505710	2023/06/06 16:41:46.946	0.00000000000002782960	2023/06/06 16:41:47.146	0.00000000000004118110	2023/06/06 16:41:48.048	0.00000000000000000000
2023/06/06 16:41:51.721	0.00000000000074709300	2023/06/06 16:41:51.921	0.00000000000003048700	2023/06/06 16:41:52.121	0.00000000000001749450	2023/06/06 16:41:52.321	0.00000000000001913500	2023/06/06 16:41:52.521	0.00000000000000412692	2023/06/06 16:41:52.721	0.00000000000004121660
2023/06/06 16:41:57.296	0.00000000000075706900	2023/06/06 16:41:57.496	0.00000000000002365430	2023/06/06 16:41:57.696	0.00000000000001851900	2023/06/06 16:41:57.896	0.00000000000001532520	2023/06/06 16:41:58.096	0.00000000000002711150	2023/06/06 16:41:58.296	0.00000000000003421080	2023/06/06 16:41:58.998	0.00000000000032250000	2023/06/06 16:41:59.198	0.00000000000000000000	2023/06/06 16:41:59.398	0.00000000000032250000	2023/06/06 16:41:59.599	0.00000000000021500000
2023/06/06 16:42:02.871	0.00000000000069850300	2023/06/06 16:42:03.071	0.00000000000002417670	2023/06/06 16:42:03.271	0.00000000000002061850	2023/06/06 16:42:03.471	0.00000000000002370370	2023/06/06 16:42:03.671	0.00000000000001036620	2023/06/06 16:42:03.872	0.00000000000002810910	2023/06/06 16:42:04.573	0.00000000000032250000	2023/06/06 16:42:04.773	0.00000000000021500000	2023/06/06 16:42:04.973	0.00000000000032250000	2023/06/06 16:42:05.174	0.00000000000032250000
2023/06/06 16:42:08.446	0.00000000000074356700	2023/06/06 16:42:08.646	0.00000000000001546810	2023/06/06 16:42:08.846	0.00000000000001190670	2023/06/06 16:42:09.046	0.00000000000001675380	2023/06/06 16:42:09.246	0.00000000000002657180	2023/06/06 16:42:09.446	0.00000000000003968470	2023/06/06 16:42:10.148	0.00000000000032250000	2023/06/06 16:42:10.348	0.00000000000021500000	2023/06/06 16:42:10.548	0.00000000000021500000	2023/06/06 16:42:10.749	0.00000000000032250000
